state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-12-04,"104,541","104,486","104,596",14.82,14.79,14.86,"708,572","708,278","708,866"
CW,2020-12-05,"103,896","103,815","103,976",14.82,14.75,14.88,"704,481","704,095","704,868"
CW,2020-12-06,"105,182","105,108","105,255",15.09,15.03,15.14,"700,436","700,084","700,789"
CW,2020-12-07,"108,068","108,003","108,134",15.49,15.45,15.54,"700,659","700,322","700,997"
CW,2020-12-08,"110,588","110,508","110,669",15.75,15.69,15.81,"705,307","704,945","705,669"
CW,2020-12-09,"111,018","110,945","111,090",15.78,15.71,15.84,"706,756","706,304","707,209"
CW,2020-12-10,"111,922","111,841","112,004",15.86,15.80,15.92,"708,704","708,390","709,018"
CW,2020-12-11,"112,070","112,012","112,127",15.90,15.84,15.95,"708,150","707,811","708,490"
CW,2020-12-12,"111,566","111,503","111,629",15.88,15.81,15.95,"705,738","705,284","706,192"
CW,2020-12-13,"113,583","113,525","113,641",16.26,16.21,16.31,"701,828","701,420","702,236"
CW,2020-12-14,"116,351","116,287","116,415",16.62,16.58,16.66,"703,266","702,987","703,544"
CW,2020-12-15,"118,184","118,129","118,239",16.77,16.74,16.81,"707,766","707,456","708,077"
CW,2020-12-16,"118,290","118,241","118,339",16.73,16.69,16.78,"710,108","709,707","710,509"
CW,2020-12-17,"117,730","117,662","117,798",16.61,16.56,16.66,"711,974","711,566","712,381"
CW,2020-12-18,"117,407","117,351","117,463",16.59,16.57,16.61,"710,761","710,580","710,943"
CW,2020-12-19,"116,167","116,109","116,226",16.48,16.45,16.51,"707,910","707,662","708,157"
CW,2020-12-20,"117,686","117,622","117,750",16.77,16.72,16.82,"704,895","704,528","705,261"
CW,2020-12-21,"120,700","120,638","120,763",17.17,17.13,17.20,"706,218","705,962","706,475"
CW,2020-12-22,"123,350","123,267","123,433",17.47,17.41,17.53,"709,243","708,919","709,567"
CW,2020-12-23,"123,097","123,046","123,149",17.43,17.40,17.45,"709,305","709,104","709,507"
