state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/05/08,489402,488812,489992,70.59,70.44,70.75,693259,692497,694021,
CW,2021/05/09,474968,474320,475616,68.84,68.62,69.05,689992,689106,690879,
CW,2021/05/10,478941,478339,479542,69.34,69.08,69.61,690710,689967,691452,
CW,2021/05/11,504251,503715,504788,72.53,72.29,72.77,695233,694510,695956,
CW,2021/05/12,514125,513577,514672,73.77,73.53,74.02,696895,696178,697611,
CW,2021/05/13,512057,511574,512539,73.4,73.18,73.62,697643,696983,698303,
CW,2021/05/14,506090,505509,506670,72.66,72.4,72.92,696497,695751,697244,
CW,2021/05/15,487017,486500,487533,70.23,70,70.47,693437,692763,694110,
CW,2021/05/16,473657,473258,474057,68.7,68.52,68.88,689488,688956,690020,
CW,2021/05/17,480374,480062,480687,69.73,69.62,69.83,688946,688744,689149,
CW,2021/05/18,504698,504367,505028,72.72,72.61,72.83,694022,693808,694235,
CW,2021/05/19,516029,515602,516457,74.05,73.9,74.2,696847,696519,697176,
CW,2021/05/20,516215,515860,516569,74.01,73.88,74.14,697499,697153,697846,
CW,2021/05/21,510796,510404,511188,73.19,73.01,73.37,697922,697360,698484,
CW,2021/05/22,492973,492600,493346,70.92,70.77,71.07,695096,694748,695444,
CW,2021/05/23,477620,477113,478126,69.16,68.99,69.33,691255,690814,691697,
CW,2021/05/24,483362,482675,484050,70.14,69.85,70.43,689783,688966,690600,
CW,2021/05/25,508961,508447,509476,73.38,73.18,73.57,694273,693685,694861,
CW,2021/05/26,517314,516825,517803,74.4,74.21,74.58,695977,695407,696546,
CW,2021/05/27,515793,515344,516242,74.14,73.98,74.29,696357,695878,696836,
CW,2021/05/28,508525,508053,508996,73.25,73.11,73.39,694865,694509,695221,
CW,2021/05/29,485281,484785,485777,70.24,70.07,70.41,691535,691069,692001,
CW,2021/05/30,468458,467988,468929,68.06,67.9,68.22,688942,688452,689431,
CW,2021/05/31,463294,462783,463804,67.37,67.22,67.52,688319,688044,688594,
CW,2021/06/01,475435,475045,475825,69.04,68.97,69.12,689228,689028,689428,
CW,2021/06/02,502335,501929,502741,72.41,72.34,72.48,694376,694176,694576,
CW,2021/06/03,510652,510150,511153,73.49,73.33,73.64,695536,695016,696056,
CW,2021/06/04,509776,508941,510611,73.44,73.09,73.78,694814,693791,695838,
CW,2021/06/05,492652,491109,494195,71.22,70.53,71.91,692394,690460,694328,
CW,2021/06/06,479155,477402,480907,69.59,68.81,70.38,689169,687044,691293,
CW,2021/06/07,483873,480778,486968,70.32,68.9,71.74,688774,684907,692641,
AK,2021/05/08,930,930,930,62.33,62.33,62.33,1492,1492,1492,POINT (-151.631889 63.631126)
AL,2021/05/08,9796,9796,9796,70.54,70.54,70.54,13887,13887,13887,POINT (-86.844516 32.756889)
AR,2021/05/08,5064,5064,5064,66.32,66.32,66.32,7636,7636,7636,POINT (-92.439162 34.899825)
AZ,2021/05/08,9431,9429,9433,67.39,67.27,67.52,13994,13984,14004,POINT (-111.664616 34.293239)
CA,2021/05/08,42553,42131,42975,74.14,73.46,74.81,57398,56701,58095,POINT (-119.662127 37.211164)
CO,2021/05/08,6484,6484,6484,63.87,63.87,63.87,10152,10152,10152,POINT (-105.547832 38.998552)
CT,2021/05/08,6158,6158,6158,78.93,78.93,78.93,7802,7802,7802,POINT (-72.738288 41.575155)
DC,2021/05/08,2071,2071,2071,75.47,75.47,75.47,2744,2744,2744,POINT (-77.016275 38.904785)
DE,2021/05/08,1914,1914,1914,71.42,71.42,71.42,2680,2680,2680,POINT (-75.452394 38.994926)
FL,2021/05/08,40566,40566,40566,77.66,77.66,77.66,52238,52238,52238,POINT (-82.420978 28.260731)
GA,2021/05/08,15071,14745,15397,78.02,78.02,78.02,19318,19318,19318,POINT (-83.426574 32.638481)
HI,2021/05/08,1744,1744,1744,70.21,70.21,70.21,2484,2484,2484,POINT (-157.854309 21.361013)
IA,2021/05/08,4628,4628,4628,60.43,60.43,60.43,7659,7659,7659,POINT (-93.500061 42.074659)
ID,2021/05/08,1741,1741,1741,53.29,53.29,53.29,3267,3267,3267,POINT (-114.659366 44.389073)
IL,2021/05/08,19549,19491,19607,68.24,67.65,68.84,28646,28587,28705,POINT (-89.148632 40.124144)
IN,2021/05/08,10379,10379,10379,61.59,61.59,61.59,16852,16852,16852,POINT (-86.2818 39.919991)
KS,2021/05/08,4253,4253,4253,54.53,54.53,54.53,7800,7800,7800,POINT (-98.38018 38.484729)
KY,2021/05/08,7022,7016,7028,57.41,57.41,57.41,12231,12231,12231,POINT (-85.290484 37.526683)
LA,2021/05/08,7854,7854,7854,62.65,62.65,62.65,12536,12536,12536,POINT (-91.840238 30.921314)
MA,2021/05/08,13407,13407,13407,80.12,80.12,80.12,16734,16734,16734,POINT (-71.481104 42.151077)
MD,2021/05/08,7951,7951,7951,79.89,79.89,79.89,9952,9952,9952,POINT (-76.687282 38.946466)
ME,2021/05/08,1935,1935,1935,67.37,67.37,67.37,2872,2872,2872,POINT (-69.06137 45.117911)
MI,2021/05/08,16724,16724,16724,80.75,80.75,80.75,20711,20711,20711,POINT (-85.730977 44.874798)
MN,2021/05/08,7346,7346,7346,76.59,76.59,76.59,9591,9591,9591,POINT (-94.198308 46.349153)
MS,2021/05/08,4632,4632,4632,59.42,59.11,59.72,7796,7781,7811,POINT (-89.65344 32.713378)
MT,2021/05/08,1740,1740,1740,60.8,60.8,60.8,2862,2862,2862,POINT (-109.645127 47.033521)
ND,2021/05/08,1361,1357,1365,68.05,67.25,68.85,2000,1993,2007,POINT (-100.46931 47.446305)
NJ,2021/05/08,13102,13102,13102,64.5,64.5,64.5,20312,20312,20312,POINT (-74.655514 40.110253)
NV,2021/05/08,5150,5143,5157,67.92,67.92,67.92,7583,7583,7583,POINT (-114.916992 39.283294)
NY,2021/05/08,33269,33269,33269,69.74,69.74,69.74,47705,47705,47705,POINT (-75.59655 42.921241)
OK,2021/05/08,5550,5543,5557,59.3,59.02,59.58,9359,9347,9371,POINT (-97.508297 35.583449)
SC,2021/05/08,6562,6562,6562,72.5,72.5,72.5,9051,9051,9051,POINT (-80.864614 33.878572)
TN,2021/05/08,11833,11833,11833,67.22,67.22,67.22,17603,17603,17603,POINT (-86.343226 35.842998)
UT,2021/05/08,2996,2996,2996,56.34,56.34,56.34,5318,5318,5318,POINT (-111.678222 39.323779)
AK,2021/05/09,908,908,908,61.02,61.02,61.02,1488,1488,1488,POINT (-151.631889 63.631126)
AL,2021/05/09,9418,9418,9418,67.95,67.95,67.95,13860,13860,13860,POINT (-86.844516 32.756889)
AR,2021/05/09,4959,4957,4961,65.77,65.77,65.77,7540,7540,7540,POINT (-92.439162 34.899825)
AZ,2021/05/09,8996,8984,9007,65.24,64.98,65.49,13789,13777,13801,POINT (-111.664616 34.293239)
CA,2021/05/09,41085,40651,41519,72.4,71.35,73.44,56751,56045,57457,POINT (-119.662127 37.211164)
CO,2021/05/09,6299,6263,6335,62.05,62.05,62.05,10151,10151,10151,POINT (-105.547832 38.998552)
CT,2021/05/09,5904,5904,5904,75.79,75.79,75.79,7790,7790,7790,POINT (-72.738288 41.575155)
DC,2021/05/09,2054,2054,2054,76.05,76.05,76.05,2701,2701,2701,POINT (-77.016275 38.904785)
DE,2021/05/09,1864,1864,1864,70.53,70.53,70.53,2643,2643,2643,POINT (-75.452394 38.994926)
FL,2021/05/09,39273,39273,39273,75.07,75.07,75.07,52317,52317,52317,POINT (-82.420978 28.260731)
GA,2021/05/09,14722,14396,15048,76.47,76.47,76.47,19253,19253,19253,POINT (-83.426574 32.638481)
HI,2021/05/09,1725,1725,1725,69.19,69.19,69.19,2493,2493,2493,POINT (-157.854309 21.361013)
IA,2021/05/09,4442,4441,4444,58.01,58.01,58.01,7658,7658,7658,POINT (-93.500061 42.074659)
ID,2021/05/09,1732,1719,1744,53.08,53.08,53.08,3262,3262,3262,POINT (-114.659366 44.389073)
IL,2021/05/09,18618,18618,18618,64.97,64.97,64.97,28658,28658,28658,POINT (-89.148632 40.124144)
IN,2021/05/09,9960,9960,9960,59.19,59.19,59.19,16828,16828,16828,POINT (-86.2818 39.919991)
KS,2021/05/09,4168,4164,4172,53.46,53.46,53.46,7797,7797,7797,POINT (-98.38018 38.484729)
KY,2021/05/09,6798,6792,6804,55.56,55.56,55.56,12236,12236,12236,POINT (-85.290484 37.526683)
LA,2021/05/09,7632,7629,7635,61.19,61.19,61.19,12472,12472,12472,POINT (-91.840238 30.921314)
MA,2021/05/09,12984,12966,13003,78.38,78.02,78.73,16567,16545,16589,POINT (-71.481104 42.151077)
MD,2021/05/09,7775,7775,7775,79.09,79.09,79.09,9831,9831,9831,POINT (-76.687282 38.946466)
