state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-11-11,"64,545","64,482","64,608",75.19,74.97,75.40,"85,847","85,765","85,929"
CW,2020-11-12,"64,450","64,393","64,508",74.94,74.75,75.13,"86,000","85,929","86,071"
CW,2020-11-13,"63,981","63,919","64,043",74.58,74.39,74.78,"85,784","85,716","85,853"
CW,2020-11-14,"63,039","62,976","63,103",73.63,73.40,73.87,"85,614","85,521","85,708"
CW,2020-11-15,"61,753","61,696","61,810",72.40,72.15,72.65,"85,292","85,184","85,400"
CW,2020-11-16,"61,820","61,770","61,870",72.35,72.15,72.55,"85,446","85,359","85,534"
CW,2020-11-17,"64,629","64,554","64,705",75.02,74.73,75.30,"86,150","86,050","86,251"
CW,2020-11-18,"65,606","65,556","65,657",75.91,75.69,76.14,"86,422","86,333","86,510"
CW,2020-11-19,"65,373","65,341","65,405",75.77,75.58,75.97,"86,275","86,188","86,362"
CW,2020-11-20,"65,167","65,119","65,215",76.00,75.83,76.18,"85,628","85,536","85,720"
CW,2020-11-21,"64,561","64,524","64,598",75.12,74.99,75.24,"85,835","85,750","85,920"
CW,2020-11-22,"63,161","63,125","63,198",73.66,73.53,73.78,"85,638","85,551","85,726"
CW,2020-11-23,"63,270","63,236","63,304",73.83,73.70,73.95,"85,590","85,502","85,678"
CW,2020-11-24,"65,423","65,411","65,436",75.92,75.87,75.97,"86,061","85,980","86,142"
CW,2020-11-25,"65,203","65,175","65,231",75.61,75.51,75.70,"86,124","86,040","86,208"
CW,2020-11-26,"63,871","63,823","63,919",74.29,74.13,74.46,"85,858","85,766","85,951"
CW,2020-11-27,"62,507","62,464","62,551",72.96,72.81,73.11,"85,552","85,460","85,643"
CW,2020-11-28,"62,965","62,917","63,013",73.17,72.99,73.35,"85,940","85,841","86,038"
CW,2020-11-29,"63,168","63,122","63,214",73.49,73.31,73.67,"85,830","85,729","85,930"
