state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-09-16,"56,516","55,817","57,215",69.93,69.43,70.44,"79,404","78,498","80,310"
CW,2020-09-17,"56,774","56,081","57,468",69.89,69.23,70.55,"79,820","78,916","80,725"
CW,2020-09-18,"56,650","55,954","57,346",69.65,68.98,70.32,"79,935","79,035","80,835"
CW,2020-09-19,"55,601","54,894","56,308",68.43,67.58,69.28,"79,902","78,990","80,814"
CW,2020-09-20,"53,812","53,093","54,530",66.66,65.66,67.66,"79,444","78,520","80,368"
CW,2020-09-21,"54,183","53,490","54,876",66.70,65.84,67.56,"79,926","79,030","80,821"
CW,2020-09-22,"56,518","55,877","57,159",69.33,68.54,70.12,"80,183","79,344","81,022"
CW,2020-09-23,"57,414","56,776","58,053",70.45,69.68,71.22,"80,180","79,348","81,012"
CW,2020-09-24,"57,562","56,960","58,165",70.64,69.98,71.31,"80,155","79,371","80,939"
CW,2020-09-25,"57,597","56,981","58,212",70.37,69.53,71.21,"80,667","79,870","81,463"
CW,2020-09-26,"56,384","55,781","56,987",69.29,68.41,70.16,"80,257","79,476","81,038"
CW,2020-09-27,"54,924","54,328","55,520",67.53,66.70,68.37,"80,194","79,413","80,976"
CW,2020-09-28,"55,236","54,651","55,821",67.74,66.99,68.49,"80,445","79,689","81,200"
CW,2020-09-29,"57,862","57,279","58,446",70.74,69.97,71.51,"80,651","79,893","81,408"
CW,2020-09-30,"58,210","57,624","58,796",71.22,70.42,72.02,"80,606","79,848","81,364"
CW,2020-10-01,"58,398","57,810","58,987",71.01,70.12,71.90,"81,137","80,370","81,905"
CW,2020-10-02,"58,045","57,461","58,629",70.52,69.65,71.39,"81,302","80,560","82,044"
CW,2020-10-03,"57,854","57,276","58,432",69.59,67.38,71.80,"82,047","81,313","82,781"
CW,2020-10-04,"56,307","55,729","56,885",67.84,65.62,70.06,"81,917","81,180","82,653"
CW,2020-10-05,"56,443","55,900","56,987",67.81,65.71,69.90,"82,306","81,610","83,002"
CW,2020-10-06,"59,069","58,535","59,602",70.71,68.67,72.76,"82,562","81,877","83,246"
CW,2020-10-07,"59,799","59,291","60,307",71.37,69.49,73.24,"83,029","82,384","83,674"
CW,2020-10-08,"60,036","59,563","60,509",71.69,69.93,73.44,"82,975","82,357","83,592"
CW,2020-10-09,"59,914","59,509","60,319",71.47,69.94,73.01,"83,111","82,597","83,626"
CW,2020-10-10,"58,695","58,500","58,891",70.28,69.52,71.03,"82,767","82,478","83,056"
