state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-10-05,"55,960","55,373","56,547",67.95,65.85,70.04,"81,457","80,672","82,242"
CW,2020-10-06,"58,645","58,088","59,202",70.87,68.91,72.83,"81,818","81,070","82,566"
CW,2020-10-07,"59,473","58,943","60,004",71.49,69.66,73.33,"82,295","81,583","83,008"
CW,2020-10-08,"59,681","59,187","60,174",71.74,70.04,73.45,"82,441","81,765","83,117"
CW,2020-10-09,"59,638","59,227","60,049",71.60,70.21,72.99,"82,580","82,015","83,146"
CW,2020-10-10,"58,401","58,116","58,685",70.38,69.57,71.18,"82,259","81,835","82,682"
CW,2020-10-11,"56,862","56,552","57,172",68.71,67.78,69.64,"81,999","81,557","82,441"
CW,2020-10-12,"57,219","56,930","57,509",68.55,67.55,69.54,"82,882","82,476","83,289"
CW,2020-10-13,"59,599","59,311","59,887",71.17,70.17,72.16,"83,232","82,828","83,636"
CW,2020-10-14,"60,079","59,784","60,375",71.75,70.69,72.81,"83,330","82,921","83,739"
CW,2020-10-15,"60,479","60,194","60,764",71.67,70.65,72.68,"83,728","83,334","84,122"
CW,2020-10-16,"60,447","60,184","60,709",71.50,70.55,72.45,"83,945","83,581","84,310"
CW,2020-10-17,"59,342","59,083","59,601",70.28,69.33,71.23,"83,847","83,484","84,210"
CW,2020-10-18,"57,798","57,545","58,050",68.64,67.71,69.56,"83,673","83,321","84,025"
CW,2020-10-19,"58,017","57,827","58,207",68.68,68.01,69.36,"83,962","83,682","84,241"
CW,2020-10-20,"60,653","60,518","60,788",71.35,70.81,71.88,"84,656","84,448","84,865"
CW,2020-10-21,"61,246","61,093","61,398",71.87,71.25,72.48,"84,881","84,653","85,108"
CW,2020-10-22,"61,038","60,922","61,153",71.54,71.07,72.01,"84,990","84,816","85,164"
CW,2020-10-23,"61,287","61,135","61,440",71.69,71.12,72.27,"85,158","84,962","85,354"
CW,2020-10-24,"59,961","59,791","60,131",70.36,69.72,71.01,"84,911","84,690","85,133"
CW,2020-10-25,"58,375","58,231","58,519",68.68,68.11,69.24,"84,703","84,504","84,902"
CW,2020-10-26,"58,102","58,020","58,184",68.41,68.07,68.75,"84,654","84,527","84,782"
CW,2020-10-27,"60,647","60,553","60,740",70.98,70.55,71.40,"85,166","84,995","85,337"
CW,2020-10-28,"61,571","61,413","61,729",72.11,71.50,72.73,"85,096","84,880","85,312"
CW,2020-10-29,"61,925","61,757","62,093",72.07,71.45,72.68,"85,633","85,426","85,840"
CW,2020-10-30,"61,727","61,536","61,918",71.97,71.28,72.66,"85,478","85,254","85,703"
CW,2020-10-31,"60,568","60,336","60,800",70.71,69.86,71.56,"85,360","85,079","85,642"
CW,2020-11-01,"59,028","58,793","59,262",69.25,68.37,70.13,"84,958","84,663","85,252"
CW,2020-11-02,"58,964","58,756","59,172",69.21,68.44,69.99,"84,916","84,660","85,172"
CW,2020-11-03,"61,432","61,231","61,633",71.70,70.97,72.44,"85,368","85,125","85,612"
CW,2020-11-04,"61,954","61,607","62,301",72.04,70.73,73.36,"85,701","85,243","86,159"
AL,2020-10-05,"1,244","1,244","1,244",82.60,82.60,82.60,"1,506","1,506","1,506"
AZ,2020-10-05,889,841,937,49.09,38.40,59.78,"1,811","1,696","1,926"
CA,2020-10-05,"4,715","4,703","4,727",66.73,66.06,67.40,"7,066","7,044","7,088"
CT,2020-10-05,508,508,508,48.57,48.57,48.57,"1,046","1,046","1,046"
DC,2020-10-05,248,248,248,71.26,71.26,71.26,348,348,348
GA,2020-10-05,"2,006","1,905","2,107",81.83,71.08,92.59,"2,444","2,355","2,533"
ID,2020-10-05,185,185,185,62.50,62.50,62.50,296,296,296
IN,2020-10-05,"1,429","1,425","1,433",63.54,62.80,64.28,"2,249","2,241","2,257"
KS,2020-10-05,539,471,607,74.20,47.58,100.83,721,645,797
LA,2020-10-05,"1,138","1,111","1,165",64.71,61.08,68.35,"1,672","1,608","1,736"
MD,2020-10-05,894,892,896,66.37,66.37,66.37,"1,341","1,341","1,341"
MI,2020-10-05,"1,934","1,902","1,966",73.62,69.72,77.52,"2,627","2,586","2,668"
AL,2020-10-06,"1,259","1,259","1,259",84.44,84.44,84.44,"1,491","1,491","1,491"
AZ,2020-10-06,930,885,976,51.21,41.23,61.19,"1,817","1,709","1,925"
CA,2020-10-06,"4,926","4,906","4,945",68.99,68.03,69.95,"7,140","7,110","7,169"
CT,2020-10-06,529,529,529,50.57,50.57,50.57,"1,046","1,046","1,046"
DC,2020-10-06,252,252,252,72.00,72.00,72.00,350,350,350
GA,2020-10-06,"2,063","1,969","2,157",83.62,73.65,93.60,"2,467","2,382","2,552"
ID,2020-10-06,196,196,196,65.77,65.77,65.77,298,298,298
IN,2020-10-06,"1,488","1,476","1,500",66.22,64.39,68.05,"2,247","2,230","2,264"
KS,2020-10-06,577,549,605,78.88,68.94,88.81,729,684,774
LA,2020-10-06,"1,171","1,144","1,198",66.81,63.91,69.70,"1,675","1,615","1,735"
MD,2020-10-06,935,935,935,68.91,68.91,68.91,"1,351","1,351","1,351"
MI,2020-10-06,"1,996","1,966","2,025",76.21,72.59,79.83,"2,618","2,581","2,656"
AL,2020-10-07,"1,266","1,265","1,268",85.00,84.55,85.45,"1,490","1,487","1,493"
AZ,2020-10-07,985,943,"1,026",52.57,42.60,62.54,"1,873","1,771","1,975"
CA,2020-10-07,"4,926","4,888","4,963",69.24,67.65,70.83,"7,114","7,073","7,155"
CT,2020-10-07,545,545,545,52.10,52.10,52.10,"1,046","1,046","1,046"
DC,2020-10-07,233,233,233,65.82,65.82,65.82,354,354,354
GA,2020-10-07,"2,069","1,996","2,142",82.27,74.45,90.08,"2,515","2,446","2,584"
ID,2020-10-07,205,205,205,68.79,68.79,68.79,298,298,298
