state,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,icu_beds_used_covid,icu_beds_used_covid_coverage
AK,55,33,7,26
AL,1863,111,529,105
AR,1549,84,323,84
AZ,2554,87,853,93
CA,8797,406,2322,405
CO,496,95,134,96
CT,143,31,31,31
DC,264,14,79,13
DE,168,11,16,9
FL,21501,290,4814,284
GA,4324,136,1136,134
GU,6,1,2,3
HI,62,20,16,20
IA,328,131,63,87
ID,239,46,58,46
IL,1719,188,394,185
IN,825,125,400,124
KS,364,123,81,123
KY,663,107,494,98
LA,1119,71,506,264
MA,366,84,56,82
MD,1074,51,211,53
ME,44,31,17,32
MI,701,136,161,135
MN,420,129,97,129
MO,819,129,271,129
MP,1,1,0,1
MS,1436,89,397,85
MT,93,35,20,67
NC,1634,126,379,126
ND,93,23,17,23
NE,183,97,53,62
NH,59,30,15,30
NJ,956,77,104,76
NM,480,37,77,37
NV,1291,64,342,64
NY,1652,162,275,161
OH,1879,179,461,179
OK,718,141,240,101
OR,264,59,66,59
PA,1343,192,304,192
PR,797,60,66,59
RI,67,12,10,12
SC,1575,81,401,82
SD,64,51,12,51
TN,1438,110,426,111
TX,10974,554,3142,548
UT,257,51,94,50
VA,1438,92,293,92
VI,8,2,3,2
VT,10,15,2,15
WA,556,90,149,90
WI,539,140,300,140
WV,152,51,50,51
WY,27,33,15,33
