state,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,icu_beds_used_covid,icu_beds_used_covid_coverage
VA,1555,86,288,85
DE,134,8,8,8
OR,283,59,81,58
MD,903,50,193,50
WI,502,106,128,106
MN,513,127,95,127
IA,322,130,84,129
NM,481,29,73,29
GU,4,3,0,3
KY,547,104,81,46
WY,19,12,3,12
PA,1197,224,288,204
NC,1701,118,432,116
MA,611,81,28,46
KS,398,117,111,117
IL,1648,185,384,183
MS,1102,84,393,81
AL,1899,108,420,73
FL,11395,275,1854,174
CO,418,82,119,82
AR,1413,80,334,80
LA,1636,207,258,71
NE,145,96,32,52
CT,192,30,23,30
RI,276,11,79,11
VI,1,1,2,1
IN,897,86,349,86
TN,1660,110,253,69
TX,11743,471,3198,460
WV,159,50,54,50
NJ,986,66,127,65
VT,11,15,1,15
AZ,3181,83,881,79
SC,1548,70,400,70
NY,1724,157,251,154
OK,701,99,292,98
CA,8820,389,2152,389
UT,241,47,104,46
NV,1124,61,289,61
ID,203,36,47,35
WA,497,90,100,87
ND,52,14,13,14
ME,31,29,15,29
SD,74,48,20,46
GA,4253,122,1016,122
PR,524,62,34,62
DC,128,12,36,12
NH,57,29,17,29
MI,731,130,162,127
MT,117,52,18,34
MO,1011,123,248,123
OH,1872,173,617,172
AK,24,21,3,21
HI,54,21,11,21
