state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-10-17,"42,059","41,879","42,239",5.85,5.62,6.09,"719,296","716,943","721,649"
CW,2020-10-18,"42,409","42,197","42,621",5.90,5.64,6.16,"719,382","717,200","721,565"
CW,2020-10-19,"43,688","43,480","43,895",6.06,5.81,6.31,"721,314","719,387","723,242"
CW,2020-10-20,"45,472","45,299","45,645",6.21,6.01,6.41,"733,061","731,378","734,744"
CW,2020-10-21,"46,163","46,073","46,254",6.28,6.15,6.40,"735,489","733,649","737,329"
CW,2020-10-22,"46,031","45,961","46,101",6.25,6.14,6.36,"737,245","735,412","739,077"
CW,2020-10-23,"46,443","46,274","46,612",6.31,6.11,6.52,"736,704","734,828","738,579"
CW,2020-10-24,"46,373","46,159","46,587",6.31,6.05,6.57,"736,002","733,965","738,039"
CW,2020-10-25,"46,980","46,805","47,155",6.41,6.19,6.63,"733,828","731,818","735,838"
CW,2020-10-26,"48,651","48,579","48,722",6.64,6.50,6.77,"734,145","732,265","736,025"
CW,2020-10-27,"50,263","50,131","50,395",6.84,6.66,7.01,"736,222","734,360","738,085"
CW,2020-10-28,"51,005","50,807","51,203",7.00,6.76,7.25,"729,072","726,993","731,151"
CW,2020-10-29,"51,715","51,509","51,922",7.15,6.82,7.47,"724,197","720,745","727,650"
CW,2020-10-30,"52,502","52,293","52,710",7.37,7.13,7.62,"714,154","712,429","715,879"
CW,2020-10-31,"52,738","52,523","52,954",7.45,7.16,7.73,"710,706","708,309","713,102"
CW,2020-11-01,"53,339","53,159","53,518",7.56,7.32,7.80,"708,389","706,381","710,397"
CW,2020-11-02,"55,684","55,599","55,768",7.86,7.71,8.01,"711,051","709,393","712,710"
CW,2020-11-03,"57,612","57,525","57,699",8.10,7.95,8.25,"713,734","712,092","715,375"
CW,2020-11-04,"59,069","58,980","59,157",8.27,8.10,8.44,"716,699","714,855","718,542"
CW,2020-11-05,"60,166","60,086","60,247",8.45,8.33,8.57,"714,972","713,242","716,702"
CW,2020-11-06,"61,351","61,282","61,420",8.62,8.52,8.72,"715,153","713,488","716,818"
CW,2020-11-07,"62,525","62,399","62,651",8.82,8.67,8.98,"711,923","710,098","713,748"
CW,2020-11-08,"64,154","64,047","64,261",9.09,8.94,9.24,"709,400","707,474","711,327"
CW,2020-11-09,"67,099","67,019","67,180",9.50,9.40,9.61,"709,321","707,627","711,015"
CW,2020-11-10,"71,144","71,088","71,201",10.01,9.95,10.08,"713,932","712,407","715,457"
CW,2020-11-11,"72,817","72,660","72,974",10.23,10.08,10.37,"715,586","714,020","717,151"
