state,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,icu_beds_used_covid,icu_beds_used_covid_coverage
AK,52,29,9,16
AL,1843,112,399,72
AR,1550,84,328,84
AZ,2669,85,890,90
CA,8711,406,2262,405
CO,462,94,122,94
CT,170,31,32,31
DC,263,14,58,13
DE,152,11,15,9
FL,11121,267,928,85
GA,4255,135,1095,133
GU,0,1,0,1
HI,51,22,8,22
IA,320,131,68,84
ID,225,44,45,44
IL,1711,187,394,185
IN,767,124,389,123
KS,366,122,99,121
KY,571,107,71,47
LA,672,58,244,55
MA,375,84,3,23
MD,1062,51,225,51
ME,34,31,18,31
MI,701,135,166,132
MN,397,129,83,129
MO,829,129,293,129
MP,0,1,0,1
MS,1416,88,400,85
MT,89,38,20,38
NC,1654,117,421,115
ND,85,19,12,19
NE,177,97,39,57
NH,48,30,13,30
NJ,987,77,105,76
NM,491,37,84,37
NV,1283,62,164,20
NY,1632,162,289,159
OH,1713,179,456,178
OK,729,140,210,80
OR,262,59,61,58
PA,1322,192,286,192
PR,828,60,62,60
RI,71,12,8,12
SC,1586,81,417,82
SD,63,51,13,49
TN,1454,115,199,59
TX,15167,921,2944,385
UT,262,50,83,48
VA,1670,92,306,91
VI,4,2,0,1
VT,13,15,1,15
WA,531,90,131,87
WI,581,140,155,132
WV,150,51,49,51
WY,32,31,9,20
