state,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,icu_beds_used_covid,icu_beds_used_covid_coverage
AK,51,36,9,35
AL,1966,112,520,106
AR,1553,84,328,84
AZ,2518,88,842,94
CA,8695,407,2343,406
CO,488,96,124,96
CT,131,31,20,31
DC,257,14,53,13
DE,172,11,17,9
FL,21375,290,4689,284
GA,4327,136,1144,134
GU,5,1,3,3
HI,69,21,18,21
IA,474,144,107,143
ID,229,46,60,46
IL,1810,188,416,185
IN,821,125,377,124
KS,400,127,84,129
KY,653,107,498,106
LA,728,66,530,268
MA,363,85,61,83
MD,1155,51,207,53
ME,44,31,20,32
MI,714,136,171,135
MN,416,129,99,129
MO,870,129,276,129
MP,0,1,0,1
MS,1453,90,413,86
MT,89,40,24,68
NC,1831,127,417,127
ND,81,45,19,45
NE,207,97,51,57
NH,55,30,13,30
NJ,1090,78,118,77
NM,472,37,86,37
NV,1292,64,337,64
NY,1991,162,293,161
OH,1948,179,448,179
OK,759,145,215,100
OR,284,59,71,59
PA,1709,193,531,193
PR,757,60,69,59
RI,67,12,10,12
SC,1597,81,404,82
SD,65,51,13,51
TN,1394,114,400,115
TX,10870,554,3131,548
UT,269,51,94,50
VA,1321,92,300,92
VI,5,2,3,2
VT,12,15,2,15
WA,562,90,155,90
WI,635,140,177,140
WV,163,51,46,51
WY,34,33,12,33
