state,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,icu_beds_used_covid,icu_beds_used_covid_coverage
AZ,3119,84,858,80
SC,1668,74,417,75
LA,2056,205,370,90
MN,585,129,102,129
NJ,957,59,135,58
DC,139,13,36,12
OR,259,57,77,57
VA,1545,80,242,79
RI,285,11,83,11
KY,612,100,133,53
WY,27,15,6,15
NH,53,30,15,30
MI,723,133,165,130
NV,1170,61,300,61
WI,682,138,157,112
ID,232,35,60,34
CA,9317,393,2234,393
NE,154,97,30,57
CT,188,31,37,31
MT,97,31,19,67
NC,1913,117,431,115
VT,10,15,1,15
MD,840,45,191,45
DE,144,10,6,8
MO,1075,126,268,126
VI,2,1,1,1
IL,1701,180,374,179
ME,51,31,19,31
GU,1,3,0,3
WA,479,87,108,84
ND,73,22,13,22
MS,1244,86,370,83
AL,1931,109,415,77
IN,1044,97,408,97
OH,1996,174,551,173
TN,1528,111,258,74
IA,368,130,88,129
NM,489,36,86,36
PA,1198,159,276,159
SD,74,50,18,48
NY,1600,154,283,151
TX,11821,472,3159,463
WV,173,48,48,48
GA,4210,126,1051,126
MA,558,79,27,45
KS,372,116,113,116
FL,12179,267,1521,133
CO,414,88,130,88
AK,35,16,7,16
AR,1416,81,350,81
OK,686,95,256,94
PR,659,60,46,60
MP,0,1,0,1
UT,256,47,97,45
HI,55,21,11,21
