state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-10-18,"42,296","42,044","42,548",5.88,5.57,6.18,"720,377","718,193","722,561"
CW,2020-10-19,"43,701","43,485","43,917",6.06,5.80,6.32,"722,422","720,484","724,361"
CW,2020-10-20,"45,511","45,328","45,694",6.21,6.00,6.43,"733,610","731,940","735,280"
CW,2020-10-21,"46,194","46,102","46,287",6.28,6.15,6.42,"736,009","734,170","737,848"
CW,2020-10-22,"46,084","46,014","46,153",6.25,6.13,6.37,"737,506","735,666","739,347"
CW,2020-10-23,"46,472","46,293","46,651",6.31,6.10,6.53,"736,944","735,076","738,811"
CW,2020-10-24,"46,402","46,178","46,627",6.31,6.04,6.58,"736,322","734,253","738,391"
CW,2020-10-25,"46,980","46,795","47,165",6.41,6.18,6.64,"734,177","732,144","736,210"
CW,2020-10-26,"48,654","48,579","48,728",6.63,6.50,6.77,"734,441","732,546","736,335"
CW,2020-10-27,"50,266","50,124","50,408",6.83,6.64,7.02,"737,842","735,945","739,740"
CW,2020-10-28,"51,011","50,800","51,222",7.00,6.74,7.26,"731,400","729,242","733,557"
CW,2020-10-29,"51,717","51,501","51,934",7.15,6.80,7.49,"726,145","722,534","729,756"
CW,2020-10-30,"52,504","52,289","52,719",7.37,7.12,7.63,"714,817","713,038","716,596"
CW,2020-10-31,"52,744","52,517","52,972",7.45,7.15,7.75,"710,873","708,385","713,362"
CW,2020-11-01,"53,388","53,196","53,579",7.56,7.31,7.81,"708,642","706,612","710,673"
CW,2020-11-02,"55,733","55,643","55,823",7.86,7.71,8.02,"712,038","710,384","713,691"
CW,2020-11-03,"57,663","57,570","57,756",8.11,7.95,8.26,"714,669","713,069","716,269"
CW,2020-11-04,"59,081","58,988","59,174",8.27,8.10,8.45,"717,433","715,570","719,296"
CW,2020-11-05,"60,221","60,136","60,305",8.43,8.26,8.59,"717,950","716,197","719,702"
CW,2020-11-06,"61,424","61,354","61,495",8.59,8.44,8.75,"718,141","716,479","719,803"
CW,2020-11-07,"62,597","62,461","62,733",8.80,8.60,9.00,"714,913","713,044","716,783"
CW,2020-11-08,"64,171","64,056","64,286",9.09,8.93,9.25,"709,600","707,615","711,586"
CW,2020-11-09,"67,110","67,023","67,196",9.51,9.39,9.62,"709,320","707,485","711,155"
CW,2020-11-10,"71,165","71,106","71,224",10.02,9.95,10.08,"713,937","712,314","715,560"
CW,2020-11-11,"72,835","72,669","73,002",10.23,10.07,10.38,"715,586","713,921","717,251"
CW,2020-11-12,"74,284","74,210","74,358",10.44,10.33,10.56,"714,682","712,812","716,551"
CW,2020-11-13,"75,161","75,066","75,256",10.56,10.44,10.67,"715,588","713,780","717,395"
CW,2020-11-14,"75,988","75,895","76,082",10.69,10.58,10.81,"714,158","712,338","715,978"
CW,2020-11-15,"78,040","77,947","78,134",11.04,10.92,11.17,"710,320","708,358","712,282"
CW,2020-11-16,"82,162","82,081","82,242",11.58,11.49,11.68,"712,905","711,059","714,750"
CW,2020-11-17,"84,401","84,102","84,700",11.84,11.50,12.18,"717,049","714,050","720,048"
AK,2020-10-18,66,66,66,4.58,4.58,4.58,"1,440","1,440","1,440"
AL,2020-10-18,947,945,949,6.72,6.54,6.90,"14,093","14,056","14,130"
AR,2020-10-18,595,591,599,7.52,6.88,8.16,"7,910","7,835","7,985"
AZ,2020-10-18,785,776,794,6.11,5.09,7.14,"12,859","12,620","13,098"
CA,2020-10-18,"3,065","3,027","3,103",5.09,4.61,5.58,"60,246","60,004","60,488"
CT,2020-10-18,340,340,340,4.21,4.03,4.38,"8,084","8,050","8,118"
DC,2020-10-18,132,132,132,4.71,4.71,4.71,"2,801","2,801","2,801"
DE,2020-10-18,167,167,167,7.18,7.18,7.18,"2,327","2,327","2,327"
FL,2020-10-18,"2,425","2,233","2,617",3.40,0.48,6.32,"72,295","72,106","72,484"
GA,2020-10-18,"1,624","1,590","1,658",8.59,6.87,10.32,"18,927","18,539","19,315"
HI,2020-10-18,107,107,107,4.43,-0.27,9.13,"2,414","2,144","2,684"
IA,2020-10-18,507,501,513,6.47,6.47,6.47,"7,938","7,938","7,938"
ID,2020-10-18,225,223,227,6.37,5.78,6.96,"3,534","3,502","3,566"
IL,2020-10-18,"2,282","2,242","2,322",7.71,7.19,8.23,"28,937","28,412","29,462"
IN,2020-10-18,"1,379","1,347","1,411",8.46,7.07,9.85,"16,291","16,185","16,397"
KS,2020-10-18,447,389,505,5.77,-1.03,12.57,"7,711","7,284","8,138"
KY,2020-10-18,773,770,776,6.49,6.25,6.74,"11,906","11,868","11,944"
