state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-10-17,"491,666","490,144","493,188",68.02,67.35,68.69,"719,296","716,943","721,649"
CW,2020-10-18,"476,337","474,953","477,721",65.88,65.27,66.50,"719,382","717,200","721,565"
CW,2020-10-19,"482,044","480,889","483,198",66.48,65.97,66.99,"721,314","719,387","723,242"
CW,2020-10-20,"507,837","507,304","508,369",68.92,68.60,69.24,"733,061","731,378","734,744"
CW,2020-10-21,"517,932","517,324","518,540",70.05,69.67,70.43,"735,489","733,649","737,329"
CW,2020-10-22,"518,606","518,071","519,142",70.02,69.64,70.39,"737,245","735,412","739,077"
CW,2020-10-23,"514,830","514,229","515,430",69.56,69.16,69.96,"736,704","734,828","738,579"
CW,2020-10-24,"496,078","495,227","496,929",67.09,66.60,67.57,"736,002","733,965","738,039"
CW,2020-10-25,"480,543","479,814","481,272",65.18,64.72,65.63,"733,828","731,818","735,838"
CW,2020-10-26,"482,929","482,515","483,342",65.49,65.11,65.87,"734,145","732,265","736,025"
CW,2020-10-27,"508,577","507,901","509,254",68.78,68.36,69.21,"736,222","734,360","738,085"
CW,2020-10-28,"518,460","517,258","519,663",70.80,70.22,71.38,"729,072","726,993","731,151"
CW,2020-10-29,"517,187","515,968","518,406",71.12,70.24,71.99,"724,197","720,745","727,650"
CW,2020-10-30,"511,954","510,736","513,171",71.56,71.01,72.12,"714,154","712,429","715,879"
CW,2020-10-31,"491,943","490,194","493,691",69.13,68.32,69.93,"710,706","708,309","713,102"
CW,2020-11-01,"476,201","474,906","477,497",67.14,66.50,67.77,"708,389","706,381","710,397"
CW,2020-11-02,"483,568","482,504","484,631",67.92,67.41,68.44,"711,051","709,393","712,710"
CW,2020-11-03,"505,965","504,873","507,056",70.80,70.29,71.32,"713,734","712,092","715,375"
CW,2020-11-04,"514,996","513,802","516,191",71.77,71.19,72.35,"716,699","714,855","718,542"
CW,2020-11-05,"516,206","515,039","517,374",72.19,71.84,72.54,"714,972","713,242","716,702"
CW,2020-11-06,"515,124","513,995","516,253",72.03,71.75,72.32,"715,153","713,488","716,818"
CW,2020-11-07,"500,456","498,850","502,061",70.30,69.79,70.81,"711,923","710,098","713,748"
CW,2020-11-08,"489,340","487,694","490,986",68.99,68.45,69.52,"709,400","707,474","711,327"
CW,2020-11-09,"494,810","493,593","496,028",69.76,69.46,70.07,"709,321","707,627","711,015"
CW,2020-11-10,"521,506","520,404","522,607",73.05,72.91,73.19,"713,932","712,407","715,457"
CW,2020-11-11,"532,880","531,394","534,366",74.47,74.11,74.83,"715,586","714,020","717,151"
CW,2020-11-12,"532,972","531,368","534,576",74.59,74.15,75.04,"714,544","712,734","716,353"
CW,2020-11-13,"529,076","527,503","530,648",73.93,73.53,74.33,"715,674","713,873","717,475"
CW,2020-11-14,"509,649","508,097","511,200",71.37,70.99,71.74,"714,171","712,303","716,038"
CW,2020-11-15,"494,834","493,299","496,368",69.64,69.26,70.02,"710,570","708,537","712,604"
CW,2020-11-16,"496,424","494,145","498,703",69.73,68.88,70.58,"711,978","709,004","714,952"
AK,2020-10-17,861,861,861,59.92,59.92,59.92,"1,437","1,437","1,437"
AL,2020-10-17,"11,118","10,864","11,372",78.94,73.25,84.63,"14,084","13,767","14,401"
AR,2020-10-17,"5,167","5,110","5,224",64.86,61.98,67.75,"7,943","7,824","8,062"
AZ,2020-10-17,"8,896","8,736","9,056",68.50,64.25,72.75,"12,972","12,721","13,223"
CA,2020-10-17,"42,650","42,478","42,822",70.75,69.85,71.65,"60,281","60,071","60,491"
CO,2020-10-17,"6,223","6,208","6,238",63.81,62.90,64.71,"9,753","9,703","9,803"
CT,2020-10-17,"5,812","5,800","5,824",71.77,70.93,72.61,"8,098","8,062","8,134"
DC,2020-10-17,"2,332","2,332","2,332",81.40,81.40,81.40,"2,865","2,865","2,865"
DE,2020-10-17,"1,769","1,769","1,769",74.11,74.11,74.11,"2,387","2,387","2,387"
FL,2020-10-17,"40,061","39,739","40,383",56.98,55.45,58.52,"70,303","69,866","70,740"
GA,2020-10-17,"14,178","13,946","14,410",75.85,74.03,77.67,"18,983","18,937","19,029"
HI,2020-10-17,"1,545","1,415","1,675",73.45,67.39,79.52,"2,087","1,809","2,365"
IA,2020-10-17,"4,822","4,822","4,822",60.85,60.85,60.85,"7,925","7,925","7,925"
ID,2020-10-17,"1,775","1,765","1,785",50.06,48.30,51.82,"3,546","3,507","3,585"
IL,2020-10-17,"18,798","18,547","19,049",63.21,60.34,66.08,"29,139","28,452","29,826"
IN,2020-10-17,"9,819","9,694","9,944",60.24,57.71,62.77,"16,299","16,134","16,464"
KS,2020-10-17,"4,442","4,345","4,539",57.92,53.25,62.60,"7,624","7,456","7,792"
KY,2020-10-17,"7,947","7,947","7,947",66.46,66.46,66.46,"11,957","11,957","11,957"
LA,2020-10-17,"8,473","8,458","8,488",65.17,65.17,65.17,"13,002","12,796","13,208"
MA,2020-10-17,"11,619","11,619","11,619",69.46,69.46,69.46,"16,728","16,728","16,728"
MD,2020-10-17,"7,813","7,696","7,930",79.89,76.32,83.46,"9,780","9,651","9,909"
ME,2020-10-17,"1,874","1,700","2,048",64.93,46.57,83.30,"2,886","2,695","3,077"
MI,2020-10-17,"16,272","16,124","16,420",74.07,71.92,76.22,"21,969","21,780","22,158"
MN,2020-10-17,"7,532","7,524","7,540",66.92,66.64,67.20,"11,255","11,240","11,270"
MS,2020-10-17,"4,696","4,648","4,744",63.55,61.58,65.53,"7,467","7,388","7,546"
NV,2020-10-17,"4,986","4,975","4,997",67.53,67.02,68.04,"7,383","7,366","7,400"
AK,2020-10-18,827,827,827,57.43,57.43,57.43,"1,440","1,440","1,440"
AL,2020-10-18,"9,633","9,610","9,656",68.45,67.96,68.94,"14,073","14,037","14,109"
AR,2020-10-18,"4,961","4,932","4,990",62.92,61.40,64.44,"7,862","7,790","7,934"
AZ,2020-10-18,"8,487","8,336","8,638",66.09,62.17,70.01,"12,827","12,601","13,053"
CA,2020-10-18,"40,988","40,812","41,164",68.45,67.46,69.44,"59,883","59,634","60,132"
CO,2020-10-18,"5,932","5,918","5,946",60.45,59.66,61.24,"9,813","9,769","9,858"
CT,2020-10-18,"5,547","5,536","5,558",68.62,67.87,69.37,"8,084","8,051","8,117"
DC,2020-10-18,"2,231","2,231","2,231",79.65,79.65,79.65,"2,801","2,801","2,801"
DE,2020-10-18,"1,637","1,637","1,637",70.35,70.35,70.35,"2,327","2,327","2,327"
FL,2020-10-18,"39,696","39,603","39,789",54.91,54.43,55.39,"72,295","72,133","72,457"
GA,2020-10-18,"13,700","13,335","14,064",73.51,68.29,78.74,"18,926","18,561","19,292"
HI,2020-10-18,"1,499","1,369","1,629",71.83,67.08,76.57,"2,073","1,799","2,347"
IA,2020-10-18,"4,658","4,654","4,661",58.67,58.67,58.67,"7,938","7,938","7,938"
ID,2020-10-18,"1,677","1,671","1,683",47.45,46.17,48.74,"3,534","3,504","3,564"
IL,2020-10-18,"18,078","17,924","18,233",61.19,60.06,62.32,"28,922","28,318","29,526"
IN,2020-10-18,"9,611","9,545","9,677",59.00,57.58,60.41,"16,291","16,191","16,391"
KS,2020-10-18,"4,346","4,048","4,644",56.39,43.39,69.39,"7,661","7,258","8,064"
KY,2020-10-18,"7,730","7,713","7,747",64.93,64.33,65.52,"11,906","11,870","11,942"
LA,2020-10-18,"8,165","8,148","8,181",63.20,61.08,65.33,"12,918","12,739","13,097"
MA,2020-10-18,"11,135","11,135","11,135",66.55,66.55,66.55,"16,731","16,731","16,731"
MD,2020-10-18,"7,502","7,407","7,597",76.81,73.91,79.71,"9,767","9,663","9,871"
ME,2020-10-18,"1,820","1,809","1,832",62.90,61.00,64.80,"2,894","2,864","2,924"
MI,2020-10-18,"15,622","15,529","15,714",70.81,69.42,72.21,"22,060","21,930","22,190"
MN,2020-10-18,"7,271","7,264","7,278",65.16,64.94,65.39,"11,158","11,146","11,170"
MS,2020-10-18,"4,524","4,483","4,564",60.88,59.22,62.54,"7,508","7,441","7,575"
NV,2020-10-18,"5,015","5,006","5,024",67.93,67.51,68.34,"7,383","7,370","7,396"
AK,2020-10-19,818,818,818,57.00,57.00,57.00,"1,435","1,435","1,435"
AL,2020-10-19,"9,878","9,865","9,891",70.24,69.95,70.53,"14,063","14,047","14,079"
AR,2020-10-19,"5,016","5,015","5,017",62.61,62.61,62.61,"7,991","7,952","8,030"
AZ,2020-10-19,"8,530","8,496","8,564",65.58,65.35,65.81,"12,991","12,925","13,057"
CA,2020-10-19,"40,830","40,518","41,142",68.28,66.60,69.97,"59,796","59,393","60,198"
CO,2020-10-19,"5,967","5,955","5,978",60.36,60.01,60.72,"9,885","9,873","9,896"
CT,2020-10-19,"5,535","5,526","5,544",68.47,67.86,69.08,"8,084","8,057","8,111"
DC,2020-10-19,"2,254","2,254","2,254",79.20,79.20,79.20,"2,846","2,846","2,846"
DE,2020-10-19,"1,652","1,652","1,652",67.02,67.02,67.02,"2,465","2,465","2,465"
FL,2020-10-19,"40,180","40,041","40,319",56.01,55.38,56.65,"71,736","71,560","71,912"
GA,2020-10-19,"13,896","13,668","14,123",74.10,71.27,76.94,"18,791","18,755","18,827"
HI,2020-10-19,"1,510","1,386","1,634",69.85,67.15,72.56,"2,146","1,887","2,405"
IA,2020-10-19,"4,736","4,735","4,738",59.88,59.88,59.88,"7,910","7,910","7,910"
ID,2020-10-19,"1,648","1,463","1,834",46.91,29.20,64.62,"3,514","3,291","3,737"
IL,2020-10-19,"18,336","17,965","18,706",62.05,57.68,66.42,"28,932","28,174","29,690"
IN,2020-10-19,"9,676","9,668","9,684",59.33,59.33,59.33,"16,310","16,310","16,310"
KS,2020-10-19,"4,326","4,156","4,497",55.90,48.61,63.19,"7,691","7,469","7,913"
KY,2020-10-19,"7,799","7,790","7,808",65.96,65.96,65.96,"11,824","11,824","11,824"
LA,2020-10-19,"8,271","8,254","8,288",64.13,62.77,65.48,"12,898","12,780","13,016"
MA,2020-10-19,"11,155","11,155","11,155",66.67,66.67,66.67,"16,731","16,731","16,731"
MD,2020-10-19,"7,682","7,539","7,825",77.91,73.21,82.61,"9,860","9,672","10,048"
ME,2020-10-19,"1,817","1,811","1,823",62.25,61.05,63.46,"2,919","2,899","2,939"
MI,2020-10-19,"15,808","15,775","15,840",71.71,71.22,72.20,"22,045","21,996","22,094"
MN,2020-10-19,"7,264","7,254","7,275",65.16,65.16,65.16,"11,149","11,149","11,149"
MS,2020-10-19,"4,680","4,661","4,699",61.67,61.15,62.18,"7,667","7,640","7,694"
NV,2020-10-19,"5,254","5,254","5,254",72.60,72.60,72.60,"7,237","7,237","7,237"
AK,2020-10-20,849,849,849,59.16,59.16,59.16,"1,435","1,435","1,435"
AL,2020-10-20,"10,518","10,481","10,555",74.55,73.59,75.50,"14,109","14,049","14,169"
