state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/04/02,40020,39953,40087,5.75,5.67,5.84,698675,698363,698987,
CW,2021/04/03,39671,39652,39690,5.73,5.68,5.78,695451,694774,696128,
CW,2021/04/04,40128,40083,40173,5.82,5.76,5.88,691966,691602,692331,
CW,2021/04/05,41569,41543,41595,6.03,5.99,6.06,692910,692692,693128,
CW,2021/04/06,42752,42738,42767,6.15,6.12,6.18,698300,697975,698626,
CW,2021/04/07,42979,42960,42998,6.16,6.12,6.2,700378,699933,700824,
CW,2021/04/08,42929,42913,42945,6.16,6.14,6.18,699849,699644,700054,
CW,2021/04/09,42852,42837,42867,6.15,6.13,6.18,699379,699088,699670,
CW,2021/04/10,42416,42390,42442,6.1,6.07,6.14,697833,697658,698007,
CW,2021/04/11,43173,43138,43207,6.25,6.18,6.31,694173,693520,694825,
CW,2021/04/12,44518,44490,44546,6.44,6.39,6.49,694179,693726,694633,
CW,2021/04/13,44951,44921,44980,6.47,6.42,6.52,698177,697689,698665,
CW,2021/04/14,44756,44726,44786,6.42,6.37,6.47,700332,699790,700874,
CW,2021/04/15,44167,44141,44194,6.33,6.28,6.38,700574,699967,701180,
CW,2021/04/16,44367,44337,44398,6.36,6.3,6.41,701014,700376,701651,
CW,2021/04/17,43821,43779,43862,6.31,6.24,6.37,697757,697113,698401,
CW,2021/04/18,44208,44176,44240,6.4,6.34,6.46,693847,693202,694492,
CW,2021/04/19,45422,45391,45454,6.58,6.56,6.6,693296,692652,693941,
CW,2021/04/20,45520,45489,45551,6.56,6.54,6.58,697104,696452,697756,
CW,2021/04/21,44798,44769,44828,6.43,6.42,6.45,699199,698527,699871,
CW,2021/04/22,43765,43734,43796,6.29,6.27,6.31,699092,698397,699787,
CW,2021/04/23,43078,43048,43109,6.19,6.18,6.21,698403,697732,699074,
CW,2021/04/24,41750,41718,41781,6.01,5.96,6.06,697422,696508,698336,
CW,2021/04/25,41464,41407,41522,6,5.94,6.06,693773,693059,694487,
