state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/04/05,41465,41443,41487,6.02,5.99,6.06,691229,690952,691506,
CW,2021/04/06,42772,42756,42789,6.17,6.14,6.2,696416,696058,696773,
CW,2021/04/07,42966,42944,42987,6.18,6.13,6.22,698615,698138,699092,
CW,2021/04/08,42945,42926,42964,6.18,6.15,6.21,698047,697840,698254,
CW,2021/04/09,42866,42848,42884,6.17,6.14,6.2,697794,697496,698092,
CW,2021/04/10,42393,42364,42423,6.11,6.08,6.15,696342,696143,696541,
CW,2021/04/11,43189,43150,43228,6.26,6.19,6.33,692869,692166,693571,
CW,2021/04/12,44533,44503,44564,6.46,6.41,6.51,692655,692171,693140,
CW,2021/04/13,44956,44925,44987,6.48,6.43,6.53,696568,696077,697059,
CW,2021/04/14,44771,44740,44802,6.42,6.36,6.47,700816,700280,701352,
CW,2021/04/15,44182,44154,44210,6.34,6.29,6.39,699936,699336,700535,
CW,2021/04/16,44360,44329,44391,6.36,6.3,6.42,700412,699782,701043,
CW,2021/04/17,43811,43767,43855,6.32,6.25,6.39,696279,695648,696910,
CW,2021/04/18,44218,44185,44251,6.41,6.35,6.47,692364,691741,692986,
CW,2021/04/19,45433,45402,45465,6.59,6.56,6.61,692696,692101,693290,
CW,2021/04/20,45528,45496,45559,6.56,6.54,6.59,696549,695943,697155,
CW,2021/04/21,44808,44779,44837,6.44,6.42,6.46,698606,697980,699232,
CW,2021/04/22,43772,43740,43803,6.29,6.27,6.32,698506,697849,699163,
CW,2021/04/23,43087,43056,43117,6.2,6.18,6.22,697837,697206,698468,
CW,2021/04/24,41754,41723,41784,6.02,5.97,6.07,696812,695912,697712,
CW,2021/04/25,41447,41387,41508,6.01,5.94,6.07,693190,692536,693844,
CW,2021/04/26,42520,42490,42550,6.17,6.14,6.21,691830,691122,692538,
CW,2021/04/27,42355,42330,42380,6.11,6.05,6.17,696020,695323,696718,
CW,2021/04/28,41537,41512,41563,5.97,5.92,6.02,698911,698315,699508,
CW,2021/04/29,40445,40418,40472,5.81,5.76,5.86,699118,698511,699725,
CW,2021/04/30,39643,39613,39674,5.7,5.64,5.76,698267,697587,698947,
CW,2021/05/01,38335,38282,38388,5.54,5.46,5.62,694798,694060,695535,
CW,2021/05/02,38213,38150,38276,5.56,5.46,5.65,690556,689790,691322,
CW,2021/05/03,38797,38726,38868,5.64,5.54,5.75,690298,689537,691058,
CW,2021/05/04,39042,38941,39144,5.64,5.48,5.8,695311,693784,696838,
CW,2021/05/05,38274,37899,38649,5.52,4.97,6.07,696610,692174,701046,
AK,2021/04/05,45,45,45,3.03,3.03,3.03,1487,1487,1487,POINT (-151.631889 63.631126)
AL,2021/04/05,390,390,390,2.81,2.81,2.81,13867,13867,13867,POINT (-86.844516 32.756889)
AR,2021/04/05,167,166,168,2.19,1.96,2.42,7634,7614,7654,POINT (-92.439162 34.899825)
AZ,2021/04/05,503,503,503,3.64,3.64,3.64,13835,13835,13835,POINT (-111.664616 34.293239)
CA,2021/04/05,2331,2326,2336,4.02,3.88,4.16,57993,57843,58143,POINT (-119.662127 37.211164)
CO,2021/04/05,420,420,420,4.13,4.13,4.13,10171,10171,10171,POINT (-105.547832 38.998552)
CT,2021/04/05,567,567,567,7.28,7.28,7.28,7793,7793,7793,POINT (-72.738288 41.575155)
DC,2021/04/05,179,179,179,6.57,6.57,6.57,2723,2723,2723,POINT (-77.016275 38.904785)
DE,2021/04/05,178,178,178,6.91,6.91,6.91,2577,2577,2577,POINT (-75.452394 38.994926)
