state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-10-06,"58,665","58,113","59,217",70.89,68.97,72.81,"81,814","81,071","82,557"
CW,2020-10-07,"59,493","58,967","60,019",71.53,69.73,73.33,"82,266","81,561","82,972"
CW,2020-10-08,"59,706","59,221","60,191",71.79,70.14,73.43,"82,412","81,744","83,079"
CW,2020-10-09,"59,661","59,240","60,083",71.65,70.23,73.07,"82,551","81,972","83,130"
CW,2020-10-10,"58,419","58,133","58,705",70.41,69.60,71.21,"82,238","81,812","82,663"
CW,2020-10-11,"56,880","56,574","57,186",68.74,67.82,69.66,"81,978","81,537","82,418"
CW,2020-10-12,"57,237","56,951","57,524",68.58,67.61,69.55,"82,871","82,466","83,276"
CW,2020-10-13,"59,601","59,314","59,888",71.18,70.20,72.16,"83,220","82,815","83,625"
CW,2020-10-14,"60,083","59,795","60,371",71.76,70.74,72.78,"83,325","82,923","83,726"
CW,2020-10-15,"60,479","60,195","60,762",71.67,70.67,72.67,"83,722","83,330","84,115"
CW,2020-10-16,"60,447","60,184","60,709",71.50,70.57,72.43,"83,943","83,579","84,307"
CW,2020-10-17,"59,360","59,101","59,619",70.30,69.37,71.24,"83,847","83,486","84,208"
CW,2020-10-18,"57,816","57,564","58,067",68.66,67.74,69.57,"83,673","83,323","84,023"
CW,2020-10-19,"58,034","57,841","58,227",68.71,68.02,69.39,"83,962","83,680","84,243"
CW,2020-10-20,"60,670","60,536","60,805",71.37,70.84,71.90,"84,656","84,449","84,864"
CW,2020-10-21,"61,263","61,109","61,416",71.89,71.27,72.50,"84,881","84,654","85,108"
CW,2020-10-22,"61,054","60,939","61,170",71.56,71.09,72.02,"84,990","84,817","85,163"
CW,2020-10-23,"61,304","61,149","61,459",71.71,71.13,72.29,"85,158","84,960","85,356"
CW,2020-10-24,"59,977","59,805","60,150",70.38,69.73,71.04,"84,911","84,687","85,136"
CW,2020-10-25,"58,388","58,243","58,533",68.70,68.13,69.26,"84,698","84,498","84,898"
CW,2020-10-26,"58,101","58,018","58,183",68.41,68.07,68.75,"84,652","84,524","84,780"
CW,2020-10-27,"60,647","60,550","60,743",70.98,70.54,71.41,"85,166","84,991","85,341"
CW,2020-10-28,"61,571","61,409","61,732",72.10,71.48,72.73,"85,117","84,897","85,338"
CW,2020-10-29,"61,913","61,741","62,085",72.03,71.40,72.67,"85,669","85,456","85,881"
CW,2020-10-30,"61,720","61,532","61,907",71.95,71.27,72.63,"85,507","85,286","85,728"
CW,2020-10-31,"60,572","60,340","60,805",70.70,69.84,71.55,"85,390","85,107","85,673"
CW,2020-11-01,"59,053","58,829","59,276",69.26,68.43,70.09,"84,996","84,720","85,272"
CW,2020-11-02,"58,979","58,775","59,184",69.22,68.46,69.98,"84,937","84,685","85,189"
CW,2020-11-03,"61,428","61,227","61,629",71.72,70.99,72.46,"85,353","85,110","85,597"
CW,2020-11-04,"62,187","61,944","62,431",72.44,71.53,73.36,"85,557","85,242","85,871"
CW,2020-11-05,"62,075","61,720","62,430",72.32,71.19,73.45,"85,549","85,101","85,997"
AL,2020-10-06,"1,259","1,259","1,259",84.44,84.44,84.44,"1,491","1,491","1,491"
AZ,2020-10-06,929,884,974,51.13,41.21,61.05,"1,817","1,709","1,925"
CA,2020-10-06,"4,918","4,897","4,939",68.87,67.88,69.86,"7,141","7,111","7,171"
CT,2020-10-06,529,529,529,50.57,50.57,50.57,"1,046","1,046","1,046"
DC,2020-10-06,252,252,252,72.00,72.00,72.00,350,350,350
GA,2020-10-06,"2,065","1,973","2,157",83.70,74.12,93.29,"2,467","2,385","2,549"
ID,2020-10-06,196,196,196,65.77,65.77,65.77,298,298,298
IN,2020-10-06,"1,489","1,476","1,502",66.27,64.37,68.17,"2,247","2,229","2,265"
KS,2020-10-06,577,548,606,78.88,69.09,88.66,729,684,774
LA,2020-10-06,"1,171","1,145","1,197",66.81,63.96,69.65,"1,675","1,615","1,735"
MD,2020-10-06,935,935,935,68.91,68.91,68.91,"1,351","1,351","1,351"
MI,2020-10-06,"1,993","1,963","2,023",76.19,72.60,79.77,"2,616","2,579","2,653"
AL,2020-10-07,"1,266","1,265","1,268",85.00,84.53,85.47,"1,490","1,487","1,493"
AZ,2020-10-07,985,944,"1,025",52.57,42.85,62.29,"1,873","1,774","1,972"
CA,2020-10-07,"4,926","4,887","4,964",69.24,67.60,70.88,"7,114","7,071","7,156"
CT,2020-10-07,545,545,545,52.10,52.10,52.10,"1,046","1,046","1,046"
DC,2020-10-07,233,233,233,65.82,65.82,65.82,354,354,354
GA,2020-10-07,"2,087","2,010","2,164",82.98,74.86,91.11,"2,515","2,445","2,585"
ID,2020-10-07,205,205,205,68.79,68.79,68.79,298,298,298
IN,2020-10-07,"1,499","1,491","1,506",66.76,65.60,67.91,"2,245","2,234","2,256"
KS,2020-10-07,580,511,650,78.68,52.60,104.77,736,662,811
LA,2020-10-07,"1,190","1,162","1,218",66.50,62.29,70.70,"1,749","1,689","1,809"
MD,2020-10-07,930,930,930,69.05,69.05,69.05,"1,341","1,341","1,341"
MI,2020-10-07,"1,998","1,972","2,023",76.92,73.81,80.02,"2,597","2,565","2,629"
AL,2020-10-08,"1,264","1,245","1,282",84.57,80.88,88.26,"1,494","1,474","1,514"
AZ,2020-10-08,969,931,"1,007",51.95,42.65,61.24,"1,865","1,770","1,960"
CA,2020-10-08,"4,978","4,906","5,051",70.00,65.94,74.05,"7,112","6,974","7,250"
CT,2020-10-08,526,526,526,50.29,50.29,50.29,"1,046","1,046","1,046"
DC,2020-10-08,231,231,231,62.43,62.43,62.43,370,370,370
GA,2020-10-08,"2,078","2,054","2,102",78.86,76.39,81.33,"2,635","2,598","2,672"
ID,2020-10-08,182,182,182,61.07,61.07,61.07,298,298,298
IN,2020-10-08,"1,535","1,528","1,541",69.00,67.96,70.05,"2,224","2,214","2,234"
KS,2020-10-08,580,560,600,78.88,76.50,81.26,734,700,768
LA,2020-10-08,"1,200","1,174","1,225",68.49,64.19,72.79,"1,709","1,647","1,771"
MD,2020-10-08,940,938,943,70.46,70.46,70.46,"1,327","1,327","1,327"
MI,2020-10-08,"2,015","1,993","2,037",77.35,74.66,80.04,"2,605","2,577","2,633"
AL,2020-10-09,"1,316","1,316","1,316",87.15,87.15,87.15,"1,510","1,510","1,510"
AZ,2020-10-09,978,944,"1,012",52.38,43.97,60.80,"1,867","1,780","1,954"
CA,2020-10-09,"4,997","4,973","5,021",70.29,69.45,71.13,"7,109","7,098","7,120"
CT,2020-10-09,503,498,508,48.09,48.09,48.09,"1,046","1,046","1,046"
DC,2020-10-09,233,233,233,62.97,62.97,62.97,370,370,370
GA,2020-10-09,"2,121","2,097","2,145",80.52,78.11,82.94,"2,634","2,598","2,670"
ID,2020-10-09,194,193,195,65.10,63.30,66.90,298,295,301
IN,2020-10-09,"1,505","1,495","1,516",67.29,65.59,68.98,"2,237","2,220","2,254"
KS,2020-10-09,571,551,591,77.60,73.92,81.28,733,699,767
LA,2020-10-09,"1,140","1,115","1,165",66.62,62.46,70.78,"1,674","1,614","1,733"
MD,2020-10-09,955,934,976,74.62,69.73,79.51,"1,270","1,248","1,293"
MI,2020-10-09,"1,988","1,966","2,009",77.12,74.28,79.96,"2,577","2,546","2,608"
AL,2020-10-10,"1,273","1,269","1,278",83.99,83.10,84.89,"1,516","1,511","1,521"
AZ,2020-10-10,959,932,987,51.35,44.24,58.47,"1,868","1,792","1,944"
CA,2020-10-10,"4,862","4,838","4,887",69.44,68.35,70.54,"7,002","6,971","7,033"
CT,2020-10-10,495,495,495,47.32,47.32,47.32,"1,046","1,046","1,046"
DC,2020-10-10,258,239,277,70.68,52.20,89.17,365,335,395
GA,2020-10-10,"2,102","2,078","2,126",79.80,77.49,82.12,"2,634","2,599","2,669"
ID,2020-10-10,194,194,195,65.21,64.48,65.94,298,297,299
IN,2020-10-10,"1,467","1,456","1,477",65.25,63.33,67.17,"2,248","2,227","2,269"
KS,2020-10-10,557,537,577,77.30,72.68,81.92,718,684,752
LA,2020-10-10,"1,126","1,103","1,150",66.20,63.31,69.09,"1,653","1,602","1,704"
MD,2020-10-10,916,916,916,72.76,72.76,72.76,"1,252","1,252","1,252"
MI,2020-10-10,"1,968","1,958","1,978",75.87,74.55,77.18,"2,594","2,580","2,608"
AL,2020-10-11,"1,250","1,225","1,275",82.52,77.80,87.24,"1,515","1,490","1,540"
AZ,2020-10-11,945,919,971,51.33,44.91,57.75,"1,841","1,776","1,906"
CA,2020-10-11,"4,707","4,687","4,727",67.76,66.65,68.86,"6,947","6,911","6,983"
CT,2020-10-11,494,494,494,47.23,47.23,47.23,"1,046","1,046","1,046"
DC,2020-10-11,247,247,247,69.97,69.97,69.97,353,353,353
GA,2020-10-11,"2,026","1,981","2,071",77.00,71.87,82.14,"2,631","2,573","2,689"
ID,2020-10-11,172,171,173,57.72,56.99,58.45,298,297,299
IN,2020-10-11,"1,436","1,427","1,445",64.69,63.36,66.02,"2,220","2,208","2,232"
KS,2020-10-11,553,534,572,76.64,72.57,80.70,717,684,750
LA,2020-10-11,"1,110","1,087","1,134",66.07,63.39,68.74,"1,637","1,587","1,687"
MD,2020-10-11,888,884,891,71.56,71.56,71.56,"1,236","1,236","1,236"
MI,2020-10-11,"1,910","1,903","1,917",74.51,73.57,75.44,"2,564","2,553","2,574"
