state,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,icu_beds_used_covid,icu_beds_used_covid_coverage
AK,35,29,6,15
AL,1926,109,388,73
AR,1483,82,305,82
AZ,2936,87,874,91
CA,9489,395,2246,394
CO,418,93,130,93
CT,176,31,25,31
DC,264,13,35,12
DE,159,11,11,9
FL,12200,267,1327,122
GA,4388,131,1134,131
GU,1,1,0,3
HI,58,21,6,21
IA,367,131,89,129
ID,214,43,60,42
IL,1737,184,377,182
IN,987,116,418,115
KS,365,118,104,118
KY,686,104,166,57
LA,2064,206,381,94
MA,581,80,21,46
MD,920,47,190,47
ME,45,31,21,31
MI,733,135,160,132
MN,422,129,88,129
MO,1059,128,237,128
MP,0,1,0,1
MS,1227,87,374,84
MT,85,31,19,67
NC,1814,117,421,115
ND,82,21,13,21
NE,131,97,33,55
NH,71,30,19,30
NJ,1150,70,147,69
NM,486,37,78,37
NV,1188,61,306,61
NY,1620,159,291,156
OH,1946,177,464,176
OK,762,137,239,97
OR,256,59,60,58
PA,1416,184,290,184
PR,708,59,60,59
RI,67,12,9,12
SC,1723,79,426,80
SD,72,51,19,49
TN,1787,111,255,70
TX,12140,479,3377,469
UT,263,49,100,47
VA,1743,92,256,91
VI,0,1,0,1
VT,11,15,1,15
WA,527,90,130,87
WI,632,139,167,127
WV,180,50,49,50
WY,36,30,10,20
