state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL,geocoded_state
CW,2021/03/26,59145,59135,59155,70.48,70.44,70.52,83918,83862,83974,
CW,2021/03/27,57814,57793,57835,69.05,68.98,69.12,83731,83675,83787,
CW,2021/03/28,56174,56156,56191,67.23,67.17,67.29,83554,83499,83610,
CW,2021/03/29,56438,56422,56453,67.73,67.67,67.8,83323,83264,83382,
CW,2021/03/30,58617,58558,58677,69.97,69.76,70.19,83772,83690,83854,
CW,2021/03/31,59362,59337,59388,70.7,70.62,70.79,83958,83901,84016,
CW,2021/04/01,58708,58640,58776,70.04,69.8,70.28,83821,83732,83909,
CW,2021/04/02,58184,58113,58256,69.48,69.26,69.7,83745,83679,83811,
CW,2021/04/03,56611,56581,56642,67.88,67.74,68.01,83404,83333,83475,
CW,2021/04/04,55288,55265,55312,66.48,66.32,66.64,83170,83080,83260,
CW,2021/04/05,55931,55894,55969,67.15,67.01,67.29,83291,83223,83359,
CW,2021/04/06,58562,58517,58606,70.03,69.84,70.22,83621,83535,83707,
CW,2021/04/07,59800,59739,59862,71.5,71.31,71.7,83633,83561,83704,
CW,2021/04/08,59984,59978,59990,71.74,71.72,71.76,83616,83561,83670,
CW,2021/04/09,59880,59864,59897,71.52,71.39,71.64,83729,83669,83789,
CW,2021/04/10,58586,58546,58625,70.15,69.99,70.31,83514,83452,83576,
CW,2021/04/11,57243,57162,57325,68.63,68.31,68.95,83409,83297,83521,
CW,2021/04/12,57434,57423,57446,68.99,68.89,69.09,83250,83200,83301,
CW,2021/04/13,59856,59845,59866,71.55,71.45,71.64,83660,83612,83708,
CW,2021/04/14,60671,60655,60686,72.36,72.26,72.46,83846,83799,83894,
CW,2021/04/15,60552,60530,60573,72.32,72.22,72.42,83728,83682,83774,
CW,2021/04/16,60478,60468,60489,72.17,72.13,72.22,83796,83770,83823,
CW,2021/04/17,59355,59290,59420,70.96,70.72,71.19,83652,83577,83726,
CW,2021/04/18,57409,57346,57472,68.99,68.77,69.21,83211,83145,83277,
CW,2021/04/19,57508,57497,57520,69.06,68.97,69.14,83276,83230,83323,
CW,2021/04/20,60319,60266,60372,72.07,71.85,72.29,83692,83609,83775,
CW,2021/04/21,60683,60648,60718,72.55,72.37,72.72,83647,83570,83724,
CW,2021/04/22,60628,60518,60737,72.57,72.15,73,83539,83395,83683,
CW,2021/04/23,60122,59891,60352,71.48,70.61,72.35,84112,83820,84405,
CW,2021/04/24,58868,58427,59310,70.22,68.54,71.9,83836,83278,84393,
