state,deprecated_icu_beds_used_covid,deprecated_icu_beds_used_covid_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,reporting_cutoff_start
OR,15,8,610,62,2020-11-18
PA,21,5,4497,221,2020-11-18
PR,,0,663,67,2020-11-18
RI,,0,308,14,2020-11-18
SC,,0,841,84,2020-11-18
SD,,0,580,61,2020-11-18
TN,,0,1765,87,2020-11-18
TX,,0,8803,584,2020-11-18
UT,,0,572,57,2020-11-18
VA,,0,1438,105,2020-11-18
VI,,0,2,2,2020-11-18
VT,,0,18,15,2020-11-18
WA,47,13,916,103,2020-11-18
AK,10,4,135,22,2020-11-18
AL,,0,1550,110,2020-11-18
AR,0,1,1050,108,2020-11-18
AZ,,0,1943,118,2020-11-18
CA,,0,5974,398,2020-11-18
CO,,0,1691,101,2020-11-18
CT,,0,1021,32,2020-11-18
DC,,0,233,13,2020-11-18
DE,,0,234,15,2020-11-18
FL,,0,4290,258,2020-11-18
GA,,0,2296,168,2020-11-18
GU,,0,53,2,2020-11-18
HI,,0,91,25,2020-11-18
IA,,0,1356,124,2020-11-18
ID,,0,421,49,2020-11-18
IL,59,10,6238,194,2020-11-18
IN,,0,3169,162,2020-11-18
KS,,0,1260,145,2020-11-18
KY,,0,1624,121,2020-11-18
LA,,0,931,222,2020-11-18
MA,,0,978,101,2020-11-18
MD,,0,1727,59,2020-11-18
ME,,0,130,38,2020-11-18
MI,,0,3946,159,2020-11-18
MN,,0,2009,139,2020-11-18
MO,,0,2777,138,2020-11-18
MP,,0,0,1,2020-11-18
MS,,0,963,106,2020-11-18
MT,4,2,451,66,2020-11-18
NC,,0,1988,127,2020-11-18
ND,,0,395,49,2020-11-18
NE,,0,987,98,2020-11-18
NH,,0,144,30,2020-11-18
NJ,,0,2759,92,2020-11-18
NM,,0,806,49,2020-11-18
NV,,0,1307,60,2020-11-18
NY,,0,4136,191,2020-11-18
OH,,0,4619,217,2020-11-18
OK,,0,1529,152,2020-11-18
WI,,0,2240,145,2020-11-18
WV,,0,542,59,2020-11-18
WY,,0,247,29,2020-11-18
