state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL,geocoded_state
CW,2021/04/03,56549,56520,56578,67.84,67.72,67.96,83358,83290,83426,
CW,2021/04/04,55270,55249,55290,66.49,66.35,66.63,83124,83043,83206,
CW,2021/04/05,55913,55878,55948,67.17,67.04,67.29,83245,83181,83309,
CW,2021/04/06,58548,58506,58591,70.06,69.88,70.23,83574,83495,83653,
CW,2021/04/07,59786,59711,59862,71.51,71.24,71.77,83610,83519,83701,
CW,2021/04/08,59966,59960,59972,71.74,71.72,71.76,83592,83543,83641,
CW,2021/04/09,59860,59844,59876,71.51,71.4,71.63,83704,83652,83757,
CW,2021/04/10,58566,58528,58604,70.15,69.99,70.3,83489,83433,83544,
CW,2021/04/11,57189,57112,57265,68.62,68.32,68.92,83345,83242,83447,
CW,2021/04/12,57417,57366,57468,68.99,68.77,69.21,83226,83147,83304,
CW,2021/04/13,59843,59776,59909,71.55,71.28,71.82,83635,83540,83730,
CW,2021/04/14,60652,60576,60727,72.36,72.06,72.66,83822,83718,83925,
CW,2021/04/15,60537,60456,60618,72.32,72.01,72.64,83703,83596,83810,
CW,2021/04/16,60466,60386,60546,72.18,71.87,72.48,83772,83670,83875,
CW,2021/04/17,59365,59266,59465,70.99,70.62,71.36,83628,83510,83747,
CW,2021/04/18,57403,57304,57502,69.01,68.64,69.37,83186,83071,83301,
CW,2021/04/19,57396,57310,57483,69.04,68.96,69.13,83132,83015,83248,
CW,2021/04/20,60216,60127,60305,72.07,71.97,72.18,83546,83427,83666,
CW,2021/04/21,60583,60494,60672,72.55,72.43,72.67,83504,83380,83628,
CW,2021/04/22,60540,60448,60633,72.6,72.49,72.71,83393,83268,83517,
CW,2021/04/23,60144,60053,60234,72.11,72.02,72.2,83405,83283,83527,
CW,2021/04/24,58676,58576,58776,70.48,70.23,70.72,83257,83102,83412,
CW,2021/04/25,57400,57308,57492,69.07,69,69.13,83108,82991,83226,
CW,2021/04/26,57494,57393,57594,69.31,69.15,69.47,82953,82828,83078,
CW,2021/04/27,59842,59742,59941,71.78,71.63,71.92,83374,83251,83496,
CW,2021/04/28,60753,60661,60845,72.49,72.39,72.6,83806,83682,83931,
CW,2021/04/29,60204,60106,60303,72.19,72.04,72.33,83402,83268,83537,
CW,2021/04/30,60064,59954,60174,71.96,71.75,72.17,83471,83325,83617,
CW,2021/05/01,58465,58343,58587,70.25,69.96,70.55,83222,83059,83384,
CW,2021/05/02,56796,56635,56957,68.37,67.83,68.9,83072,82842,83301,
CW,2021/05/03,56798,56456,57140,68.22,66.95,69.49,83259,82814,83704,
AK,2021/04/03,93,93,93,68.89,68.89,68.89,135,129,141,POINT (-151.631889 63.631126)
AL,2021/04/03,1197,1197,1197,76.44,76.44,76.44,1566,1566,1566,POINT (-86.844516 32.756889)
AR,2021/04/03,617,613,621,59.61,58.29,60.94,1035,1030,1040,POINT (-92.439162 34.899825)
CA,2021/04/03,4850,4837,4863,70.4,69.75,71.06,6889,6869,6909,POINT (-119.662127 37.211164)
CO,2021/04/03,778,778,778,62.64,62.64,62.64,1242,1242,1242,POINT (-105.547832 38.998552)
CT,2021/04/03,608,608,608,58.69,58.69,58.69,1036,1036,1036,POINT (-72.738288 41.575155)
DC,2021/04/03,262,262,262,81.37,81.37,81.37,322,322,322,POINT (-77.016275 38.904785)
DE,2021/04/03,149,149,149,80.54,80.54,80.54,185,185,185,POINT (-75.452394 38.994926)
FL,2021/04/03,4805,4805,4805,74.98,74.98,74.98,6408,6408,6408,POINT (-82.420978 28.260731)
GA,2021/04/03,2125,2125,2125,76.58,76.58,76.58,2775,2775,2775,POINT (-83.426574 32.638481)
HI,2021/04/03,141,141,141,63.23,63.23,63.23,223,223,223,POINT (-157.854309 21.361013)
IA,2021/04/03,423,423,423,63.9,63.9,63.9,662,662,662,POINT (-93.500061 42.074659)
ID,2021/04/03,197,197,197,65.89,65.89,65.89,299,299,299,POINT (-114.659366 44.389073)
IL,2021/04/03,1979,1961,1997,57.88,56.01,59.76,3419,3390,3448,POINT (-89.148632 40.124144)
IN,2021/04/03,1352,1352,1352,62.3,62.3,62.3,2170,2170,2170,POINT (-86.2818 39.919991)
KS,2021/04/03,551,551,551,69.66,69.66,69.66,791,791,791,POINT (-98.38018 38.484729)
KY,2021/04/03,991,991,991,56.34,56.34,56.34,1759,1759,1759,POINT (-85.290484 37.526683)
LA,2021/04/03,1041,1041,1041,59.72,59.72,59.72,1743,1743,1743,POINT (-91.840238 30.921314)
MA,2021/04/03,1003,1003,1003,72.68,72.68,72.68,1380,1380,1380,POINT (-71.481104 42.151077)
MD,2021/04/03,962,962,962,73.04,73.04,73.04,1317,1317,1317,POINT (-76.687282 38.946466)
ME,2021/04/03,216,216,216,67.29,67.29,67.29,321,321,321,POINT (-69.06137 45.117911)
MI,2021/04/03,1951,1951,1951,76.6,76.6,76.6,2547,2547,2547,POINT (-85.730977 44.874798)
MN,2021/04/03,653,653,653,72.56,72.56,72.56,900,900,900,POINT (-94.198308 46.349153)
AK,2021/04/04,93,93,93,67.88,67.88,67.88,137,131,143,POINT (-151.631889 63.631126)
AL,2021/04/04,1179,1179,1179,74.86,74.86,74.86,1575,1575,1575,POINT (-86.844516 32.756889)
AR,2021/04/04,595,584,606,59.74,56.81,62.66,996,991,1001,POINT (-92.439162 34.899825)
CA,2021/04/04,4682,4675,4689,68.17,67.72,68.63,6868,6853,6883,POINT (-119.662127 37.211164)
CO,2021/04/04,764,763,765,61.61,61.61,61.61,1240,1240,1240,POINT (-105.547832 38.998552)
CT,2021/04/04,584,584,584,56.37,56.37,56.37,1036,1036,1036,POINT (-72.738288 41.575155)
DC,2021/04/04,242,242,242,77.56,77.56,77.56,312,312,312,POINT (-77.016275 38.904785)
DE,2021/04/04,148,148,148,80,80,80,185,185,185,POINT (-75.452394 38.994926)
FL,2021/04/04,4691,4691,4691,73.24,73.24,73.24,6405,6405,6405,POINT (-82.420978 28.260731)
GA,2021/04/04,2102,2102,2102,75.69,75.69,75.69,2777,2777,2777,POINT (-83.426574 32.638481)
HI,2021/04/04,126,123,129,56.5,51.37,61.64,223,217,229,POINT (-157.854309 21.361013)
IA,2021/04/04,431,431,431,65.2,65.2,65.2,661,661,661,POINT (-93.500061 42.074659)
ID,2021/04/04,192,192,192,64.21,64.21,64.21,299,299,299,POINT (-114.659366 44.389073)
IL,2021/04/04,1966,1964,1968,57.47,57.32,57.62,3421,3420,3422,POINT (-89.148632 40.124144)
IN,2021/04/04,1296,1295,1296,59.78,55.87,63.7,2167,2112,2222,POINT (-86.2818 39.919991)
KS,2021/04/04,526,526,526,67.18,67.18,67.18,783,783,783,POINT (-98.38018 38.484729)
KY,2021/04/04,980,980,980,55.71,55.71,55.71,1759,1759,1759,POINT (-85.290484 37.526683)
LA,2021/04/04,1041,1041,1041,59.76,59.76,59.76,1742,1742,1742,POINT (-91.840238 30.921314)
MA,2021/04/04,997,997,997,72.35,72.35,72.35,1378,1378,1378,POINT (-71.481104 42.151077)
MD,2021/04/04,957,957,957,73.62,73.62,73.62,1300,1300,1300,POINT (-76.687282 38.946466)
ME,2021/04/04,214,213,215,67.3,67.3,67.3,318,318,318,POINT (-69.06137 45.117911)
MI,2021/04/04,1972,1972,1972,78.57,78.57,78.57,2510,2510,2510,POINT (-85.730977 44.874798)
MN,2021/04/04,634,633,636,70.58,70.58,70.58,899,899,899,POINT (-94.198308 46.349153)
AK,2021/04/05,95,95,95,68.35,68.35,68.35,139,134,144,POINT (-151.631889 63.631126)
AL,2021/04/05,1220,1220,1220,77.22,77.22,77.22,1580,1580,1580,POINT (-86.844516 32.756889)
AR,2021/04/05,624,620,628,61.42,60.28,62.55,1016,1012,1020,POINT (-92.439162 34.899825)
