state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL,geocoded_state
CW,2021/04/22,60546,60435,60657,72.56,72.38,72.74,83447,83294,83600,
CW,2021/04/23,60218,60111,60326,72.15,71.99,72.3,83465,83316,83614,
CW,2021/04/24,58761,58652,58870,70.52,70.24,70.8,83323,83152,83495,
CW,2021/04/25,57389,57298,57481,69.07,69.01,69.13,83088,82960,83217,
CW,2021/04/26,57579,57473,57685,69.36,69.15,69.56,83018,82881,83156,
CW,2021/04/27,59980,59882,60078,71.86,71.53,72.18,83470,83346,83595,
CW,2021/04/28,60982,60895,61069,72.58,72.29,72.87,84022,83900,84143,
CW,2021/04/29,60389,60297,60481,72.22,71.9,72.54,83621,83493,83750,
CW,2021/04/30,60259,60166,60352,72,71.68,72.31,83693,83568,83818,
CW,2021/05/01,58583,58491,58675,70.26,69.95,70.58,83377,83256,83498,
CW,2021/05/02,56906,56826,56986,68.4,68.13,68.66,83198,83091,83304,
CW,2021/05/03,57256,57179,57333,68.98,68.74,69.23,83002,82905,83099,
CW,2021/05/04,59674,59570,59779,71.51,71.02,72,83449,83240,83658,
CW,2021/05/05,60264,60175,60352,72.09,71.81,72.36,83599,83500,83697,
CW,2021/05/06,60036,59938,60135,71.59,71.24,71.93,83862,83737,83988,
CW,2021/05/07,59512,59423,59601,71.27,70.95,71.59,83501,83379,83623,
CW,2021/05/08,57934,57835,58032,69.57,69.21,69.93,83274,83143,83406,
CW,2021/05/09,56624,56512,56736,68,67.56,68.44,83274,83125,83424,
CW,2021/05/10,56388,56285,56491,68.03,67.62,68.43,82888,82751,83025,
CW,2021/05/11,58713,58605,58821,70.44,70.01,70.86,83354,83209,83498,
CW,2021/05/12,59316,59190,59441,71.06,70.59,71.52,83477,83326,83628,
CW,2021/05/13,58839,58734,58944,70.65,70.36,70.93,83287,83142,83432,
CW,2021/05/14,58158,58044,58272,69.89,69.58,70.2,83211,83064,83359,
CW,2021/05/15,57022,56897,57147,68.83,68.46,69.19,82849,82683,83016,
CW,2021/05/16,55669,55542,55797,67.34,66.99,67.68,82674,82510,82838,
CW,2021/05/17,55936,55812,56060,67.67,67.35,67.99,82660,82495,82824,
CW,2021/05/18,58322,58212,58431,70.12,69.87,70.37,83172,83017,83327,
CW,2021/05/19,59103,58938,59269,70.99,70.5,71.49,83255,83057,83454,
CW,2021/05/20,58886,58745,59027,70.88,70.5,71.26,83082,82905,83259,
CW,2021/05/21,58238,57961,58514,69.83,68.87,70.79,83398,83050,83745,
CW,2021/05/22,57415,56859,57971,68.97,66.89,71.05,83248,82551,83945,
AL,2021/04/22,1302,1302,1302,82.2,82.2,82.2,1584,1584,1584,POINT (-86.844516 32.756889)
CT,2021/04/22,618,618,618,60,60,60,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/04/22,251,251,251,74.7,74.7,74.7,336,336,336,POINT (-77.016275 38.904785)
AL,2021/04/23,1286,1286,1286,81.14,81.14,81.14,1585,1585,1585,POINT (-86.844516 32.756889)
CT,2021/04/23,617,617,617,59.9,59.9,59.9,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/04/23,265,265,265,82.04,82.04,82.04,323,323,323,POINT (-77.016275 38.904785)
AL,2021/04/24,1250,1249,1250,78.49,78.49,78.49,1592,1592,1592,POINT (-86.844516 32.756889)
CT,2021/04/24,589,588,590,57.18,57.18,57.18,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/04/24,255,255,255,83.06,83.06,83.06,307,307,307,POINT (-77.016275 38.904785)
AL,2021/04/25,1230,1229,1230,77.08,77.08,77.08,1595,1595,1595,POINT (-86.844516 32.756889)
CT,2021/04/25,563,563,563,54.66,54.66,54.66,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/04/25,237,237,237,76.21,76.21,76.21,311,311,311,POINT (-77.016275 38.904785)
AL,2021/04/26,1251,1251,1251,78.48,78.48,78.48,1594,1594,1594,POINT (-86.844516 32.756889)
CT,2021/04/26,561,561,561,54.47,54.47,54.47,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/04/26,247,247,247,77.43,77.43,77.43,319,319,319,POINT (-77.016275 38.904785)
AL,2021/04/27,1300,1300,1300,81.71,81.71,81.71,1591,1588,1594,POINT (-86.844516 32.756889)
CT,2021/04/27,582,580,583,56.46,56.46,56.46,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/04/27,259,259,259,78.25,78.25,78.25,331,331,331,POINT (-77.016275 38.904785)
AL,2021/04/28,1328,1326,1330,83.42,83.42,83.42,1592,1592,1592,POINT (-86.844516 32.756889)
CT,2021/04/28,577,577,577,56.02,56.02,56.02,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/04/28,273,273,273,82.48,82.48,82.48,331,331,331,POINT (-77.016275 38.904785)
AL,2021/04/29,1297,1297,1297,81.37,81.37,81.37,1594,1594,1594,POINT (-86.844516 32.756889)
CT,2021/04/29,571,571,571,55.44,55.44,55.44,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/04/29,281,281,281,85.93,85.93,85.93,327,327,327,POINT (-77.016275 38.904785)
AL,2021/04/30,1320,1320,1320,82.81,82.81,82.81,1594,1594,1594,POINT (-86.844516 32.756889)
CT,2021/04/30,579,579,579,56.21,56.21,56.21,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/04/30,275,275,275,82.83,82.83,82.83,332,332,332,POINT (-77.016275 38.904785)
AL,2021/05/01,1264,1264,1264,79.25,79.25,79.25,1595,1595,1595,POINT (-86.844516 32.756889)
CT,2021/05/01,562,560,563,54.51,54.51,54.51,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/01,277,277,277,83.18,83.18,83.18,333,333,333,POINT (-77.016275 38.904785)
AL,2021/05/02,1254,1254,1254,78.82,78.82,78.82,1591,1591,1591,POINT (-86.844516 32.756889)
CT,2021/05/02,539,539,539,52.33,52.33,52.33,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/02,253,253,253,78.33,78.33,78.33,323,323,323,POINT (-77.016275 38.904785)
AL,2021/05/03,1296,1296,1296,81.77,81.77,81.77,1585,1585,1585,POINT (-86.844516 32.756889)
CT,2021/05/03,557,557,557,54.08,54.08,54.08,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/03,259,259,259,81.19,81.19,81.19,319,319,319,POINT (-77.016275 38.904785)
AL,2021/05/04,1366,1366,1366,86.35,86.35,86.35,1582,1582,1582,POINT (-86.844516 32.756889)
CT,2021/05/04,578,578,578,56.12,56.12,56.12,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/04,265,265,265,80.79,80.79,80.79,328,328,328,POINT (-77.016275 38.904785)
AL,2021/05/05,1375,1373,1377,86.86,86.86,86.86,1583,1583,1583,POINT (-86.844516 32.756889)
CT,2021/05/05,592,592,592,57.48,57.48,57.48,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/05,257,257,257,78.35,78.35,78.35,328,328,328,POINT (-77.016275 38.904785)
AL,2021/05/06,1329,1329,1329,83.74,83.74,83.74,1587,1587,1587,POINT (-86.844516 32.756889)
CT,2021/05/06,581,581,581,56.41,56.41,56.41,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/06,257,257,257,81.07,81.07,81.07,317,317,317,POINT (-77.016275 38.904785)
AL,2021/05/07,1330,1330,1330,83.39,83.39,83.39,1595,1595,1595,POINT (-86.844516 32.756889)
CT,2021/05/07,572,572,572,55.53,55.53,55.53,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/07,259,259,259,78.48,78.48,78.48,330,330,330,POINT (-77.016275 38.904785)
AL,2021/05/08,1295,1295,1295,81.09,81.09,81.09,1597,1597,1597,POINT (-86.844516 32.756889)
CT,2021/05/08,567,567,567,55.05,55.05,55.05,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/08,263,263,263,80.43,80.43,80.43,327,327,327,POINT (-77.016275 38.904785)
AL,2021/05/09,1300,1298,1301,81.68,81.68,81.68,1591,1591,1591,POINT (-86.844516 32.756889)
CT,2021/05/09,559,559,559,54.27,54.27,54.27,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/09,248,248,248,80.78,80.78,80.78,307,307,307,POINT (-77.016275 38.904785)
AL,2021/05/10,1284,1284,1284,80.86,80.86,80.86,1588,1588,1588,POINT (-86.844516 32.756889)
CT,2021/05/10,561,559,563,54.47,54.47,54.47,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/10,238,238,238,75.56,75.56,75.56,315,315,315,POINT (-77.016275 38.904785)
AL,2021/05/11,1340,1337,1343,83.96,83.32,84.6,1596,1592,1600,POINT (-86.844516 32.756889)
CT,2021/05/11,576,576,576,55.92,55.92,55.92,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/11,253,253,253,81.35,81.35,81.35,311,311,311,POINT (-77.016275 38.904785)
AL,2021/05/12,1350,1350,1350,84.85,84.85,84.85,1591,1591,1591,POINT (-86.844516 32.756889)
CT,2021/05/12,576,576,576,55.92,55.92,55.92,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/12,245,245,245,75.15,75.15,75.15,326,326,326,POINT (-77.016275 38.904785)
AL,2021/05/13,1351,1350,1352,84.54,84.54,84.54,1598,1598,1598,POINT (-86.844516 32.756889)
CT,2021/05/13,580,580,580,56.31,56.31,56.31,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/13,263,263,263,82.19,82.19,82.19,320,320,320,POINT (-77.016275 38.904785)
AL,2021/05/14,1297,1297,1297,81.27,81.27,81.27,1596,1596,1596,POINT (-86.844516 32.756889)
CT,2021/05/14,574,574,574,55.73,55.73,55.73,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/14,278,278,278,85.8,85.8,85.8,324,324,324,POINT (-77.016275 38.904785)
AL,2021/05/15,1293,1292,1294,81.07,81.07,81.07,1595,1595,1595,POINT (-86.844516 32.756889)
CT,2021/05/15,560,560,560,54.37,54.37,54.37,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/15,285,285,285,86.36,86.36,86.36,330,330,330,POINT (-77.016275 38.904785)
AL,2021/05/16,1273,1273,1273,79.81,79.81,79.81,1595,1595,1595,POINT (-86.844516 32.756889)
CT,2021/05/16,526,526,526,51.07,51.07,51.07,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/16,261,261,261,80.31,80.31,80.31,325,325,325,POINT (-77.016275 38.904785)
AL,2021/05/17,1309,1306,1312,82.64,82.64,82.64,1584,1584,1584,POINT (-86.844516 32.756889)
CT,2021/05/17,498,498,498,48.35,48.35,48.35,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/17,246,246,246,77.12,77.12,77.12,319,319,319,POINT (-77.016275 38.904785)
AL,2021/05/18,1345,1345,1345,84.7,84.7,84.7,1588,1588,1588,POINT (-86.844516 32.756889)
CT,2021/05/18,519,519,519,50.39,50.39,50.39,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/18,253,253,253,78.33,78.33,78.33,323,323,323,POINT (-77.016275 38.904785)
AL,2021/05/19,1342,1341,1344,83.96,83.59,84.33,1599,1596,1602,POINT (-86.844516 32.756889)
CT,2021/05/19,553,553,553,53.69,53.69,53.69,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/19,272,272,272,81.93,81.93,81.93,332,332,332,POINT (-77.016275 38.904785)
AL,2021/05/20,1358,1358,1358,85.14,85.14,85.14,1595,1595,1595,POINT (-86.844516 32.756889)
CT,2021/05/20,549,549,549,53.3,53.3,53.3,1030,1030,1030,POINT (-72.738288 41.575155)
DC,2021/05/20,271,271,271,82.37,82.37,82.37,329,329,329,POINT (-77.016275 38.904785)
AL,2021/05/21,1311,1310,1312,82.5,82.36,82.65,1589,1589,1589,POINT (-86.844516 32.756889)
