state,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,icu_beds_used_covid,icu_beds_used_covid_coverage
AK,29,21,4,21
AL,5354,107,396,67
AR,1422,79,327,79
AZ,3178,82,884,78
CA,8665,388,2100,388
CO,411,81,113,81
CT,179,30,20,30
DC,132,12,39,12
DE,131,8,8,8
FL,12325,274,1959,190
GA,4124,122,997,122
GU,4,3,0,3
HI,54,21,11,21
IA,328,130,83,129
ID,203,36,50,35
IL,1847,185,371,183
IN,892,86,350,86
KS,386,115,105,115
KY,529,104,69,44
LA,1601,205,241,57
MA,626,81,24,42
MD,878,50,184,50
ME,31,29,15,29
MI,719,130,167,127
MN,504,127,93,127
MO,982,122,251,122
MS,1069,84,405,81
MT,120,52,18,33
NC,1680,118,432,116
ND,53,12,12,12
NE,125,96,35,47
NH,52,29,17,29
NJ,982,66,126,65
NM,486,28,69,28
NV,1129,61,288,61
NY,1605,156,258,153
OH,1945,170,495,169
OK,671,97,301,97
OR,278,59,87,58
PA,1204,224,290,204
PR,527,62,32,62
RI,264,11,76,11
SC,1567,70,385,70
SD,78,47,18,45
TN,1662,108,224,67
TX,11659,469,3197,458
UT,255,47,106,46
VA,1552,85,299,84
VI,1,1,2,1
VT,11,14,2,14
WA,487,89,93,87
WI,477,99,116,99
WV,234,50,53,50
WY,12,12,2,12
