state,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,icu_beds_used_covid,icu_beds_used_covid_coverage
AK,40,29,6,15
AL,1862,112,428,77
AR,1531,84,321,84
AZ,2763,87,871,91
CA,9029,406,2392,405
CO,493,94,124,94
CT,179,31,32,31
DC,275,14,57,13
DE,145,11,11,9
FL,11495,267,930,100
GA,4341,135,1134,133
GU,0,1,0,1
HI,55,22,7,22
IA,315,131,65,83
ID,218,44,47,44
IL,1707,187,393,185
IN,753,124,396,123
KS,358,122,93,121
KY,583,109,68,43
LA,821,71,270,67
MA,378,84,8,27
MD,1055,51,231,51
ME,26,31,14,31
MI,750,135,171,132
MN,435,129,84,129
MO,873,129,281,129
MP,0,1,0,1
MS,1439,88,395,85
MT,101,37,16,37
NC,1669,117,423,115
ND,104,22,10,22
NE,200,97,24,51
NH,62,30,17,30
NJ,1041,77,116,76
NM,483,37,84,37
NV,1273,62,155,20
NY,1541,162,272,159
OH,1745,178,466,177
OK,746,140,244,99
OR,304,59,55,58
PA,1392,192,294,192
PR,819,60,65,60
RI,61,12,14,12
SC,1636,81,432,82
SD,62,51,14,49
TN,1538,113,206,59
TX,15335,921,2822,383
UT,242,50,82,48
VA,1719,92,305,91
VI,4,2,0,1
VT,17,15,1,15
WA,525,90,87,87
WI,606,140,152,131
WV,160,51,58,51
WY,34,31,9,20
