state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/03/23,39458,39450,39466,5.66,5.65,5.67,699981,699936,700026,
CW,2021/03/24,39456,39431,39482,5.64,5.61,5.68,702156,701931,702382,
CW,2021/03/25,39380,39332,39429,5.63,5.57,5.69,702910,702677,703144,
CW,2021/03/26,39421,39406,39435,5.64,5.62,5.66,701516,701333,701698,
CW,2021/03/27,38842,38757,38926,5.58,5.48,5.68,698961,698798,699124,
CW,2021/03/28,39120,39107,39132,5.65,5.63,5.67,695181,694998,695364,
CW,2021/03/29,40161,40147,40176,5.8,5.78,5.82,695463,695293,695632,
CW,2021/03/30,40639,40605,40673,5.83,5.78,5.88,700106,699680,700532,
CW,2021/03/31,40451,40438,40464,5.79,5.77,5.81,701849,701674,702024,
CW,2021/04/01,40316,40297,40335,5.77,5.74,5.81,701228,700887,701568,
CW,2021/04/02,40034,39969,40100,5.75,5.67,5.83,698932,698569,699295,
CW,2021/04/03,39650,39634,39667,5.72,5.67,5.78,695729,694972,696486,
CW,2021/04/04,40114,40070,40158,5.82,5.76,5.88,692244,691814,692675,
CW,2021/04/05,41546,41519,41574,6.02,5.98,6.06,693195,692929,693461,
CW,2021/04/06,42728,42716,42739,6.14,6.11,6.17,698546,698176,698915,
CW,2021/04/07,42972,42963,42982,6.16,6.14,6.18,700462,700182,700741,
CW,2021/04/08,42930,42915,42945,6.16,6.14,6.18,699953,699701,700205,
CW,2021/04/09,42853,42837,42869,6.15,6.12,6.18,699482,699103,699861,
CW,2021/04/10,42389,42363,42415,6.1,6.07,6.13,697936,697684,698188,
CW,2021/04/11,43149,43112,43185,6.24,6.18,6.31,694268,693534,695002,
CW,2021/04/12,44509,44483,44535,6.44,6.4,6.47,694267,693951,694584,
CW,2021/04/13,44917,44894,44940,6.46,6.43,6.49,698275,698069,698481,
CW,2021/04/14,44721,44698,44744,6.41,6.38,6.44,700416,700205,700627,
CW,2021/04/15,44148,44133,44162,6.33,6.3,6.35,700676,700373,700978,
CW,2021/04/16,44340,44324,44357,6.35,6.32,6.38,701104,700776,701431,
CW,2021/04/17,43791,43750,43832,6.3,6.24,6.36,697903,697425,698380,
CW,2021/04/18,44186,44157,44216,6.4,6.35,6.44,693845,693338,694351,
CW,2021/04/19,45450,45433,45468,6.58,6.55,6.6,694018,693761,694274,
CW,2021/04/20,45522,45461,45584,6.55,6.48,6.62,697859,697544,698174,
CW,2021/04/21,44830,44771,44890,6.43,6.34,6.52,699761,698917,700605,
CW,2021/04/22,43877,43636,44118,6.33,5.96,6.7,696024,692574,699474,
AK,2021/03/23,37,37,37,2.58,2.58,2.58,1434,1434,1434,POINT (-151.631889 63.631126)
AL,2021/03/23,486,486,486,3.52,3.52,3.52,13817,13817,13817,POINT (-86.844516 32.756889)
AR,2021/03/23,210,210,210,2.78,2.78,2.78,7564,7564,7564,POINT (-92.439162 34.899825)
