state,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,icu_beds_used_covid,icu_beds_used_covid_coverage
AK,46,29,6,16
AL,1898,111,392,77
AR,1476,83,320,83
AZ,2848,87,862,91
CA,8910,401,2299,400
CO,441,93,120,93
CT,163,31,22,31
DC,263,14,37,13
DE,154,11,13,9
FL,11786,267,1083,103
GA,4327,134,1165,132
GU,0,1,0,3
HI,64,22,9,22
IA,358,131,95,129
ID,231,44,57,44
IL,1771,187,389,185
IN,782,123,426,122
KS,343,120,98,120
KY,612,107,148,48
LA,2126,206,266,76
MA,431,84,4,26
MD,1119,51,229,51
ME,32,31,18,31
MI,725,135,166,132
MN,430,129,94,129
MO,911,129,256,129
MP,0,1,0,1
MS,1254,88,383,85
MT,84,34,18,67
NC,1731,117,417,115
ND,84,22,13,22
NE,219,97,26,53
NH,59,30,17,30
NJ,1152,76,125,75
NM,494,37,83,37
NV,1260,62,303,62
NY,1616,160,276,157
OH,1744,178,447,177
OK,724,140,240,99
OR,230,59,56,58
PA,1455,189,303,189
PR,772,60,59,60
RI,78,12,13,12
SC,1668,81,419,82
SD,69,51,16,49
TN,1550,115,206,62
TX,12097,481,3489,471
UT,262,50,101,48
VA,1705,92,291,91
VI,6,2,0,1
VT,19,15,1,15
WA,521,90,121,87
WI,679,140,165,130
WV,182,51,61,51
WY,43,30,8,11
