state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-09-28,"54,825","54,138","55,512",67.62,67.13,68.11,"80,035","79,121","80,949"
CW,2020-09-29,"57,744","57,087","58,402",70.77,70.16,71.38,"80,494","79,622","81,367"
CW,2020-09-30,"58,109","57,491","58,727",71.27,70.61,71.93,"80,461","79,637","81,285"
CW,2020-10-01,"58,314","57,708","58,919",71.07,70.30,71.84,"81,001","80,189","81,812"
CW,2020-10-02,"57,995","57,385","58,605",70.56,69.73,71.38,"81,175","80,377","81,972"
CW,2020-10-03,"57,799","57,176","58,422",69.58,67.39,71.76,"81,966","81,159","82,773"
CW,2020-10-04,"56,244","55,633","56,854",67.85,65.71,70.00,"81,808","81,015","82,601"
CW,2020-10-05,"56,461","55,878","57,045",67.84,65.79,69.90,"82,344","81,583","83,106"
CW,2020-10-06,"59,091","58,517","59,664",70.79,68.78,72.80,"82,564","81,815","83,312"
CW,2020-10-07,"59,805","59,261","60,348",71.47,69.62,73.31,"82,811","82,103","83,518"
CW,2020-10-08,"60,034","59,540","60,529",71.82,70.15,73.49,"82,863","82,201","83,526"
CW,2020-10-09,"59,941","59,517","60,365",71.61,70.18,73.04,"83,025","82,461","83,588"
CW,2020-10-10,"58,749","58,466","59,032",70.40,69.59,71.20,"82,744","82,337","83,151"
CW,2020-10-11,"57,212","56,906","57,518",68.77,67.85,69.69,"82,459","82,033","82,884"
CW,2020-10-12,"57,577","57,286","57,868",68.61,67.61,69.60,"83,341","82,946","83,736"
CW,2020-10-13,"59,932","59,641","60,223",71.17,70.17,72.18,"83,708","83,315","84,102"
CW,2020-10-14,"60,441","60,152","60,730",71.80,70.76,72.83,"83,778","83,391","84,165"
CW,2020-10-15,"60,779","60,496","61,061",71.67,70.65,72.68,"84,172","83,794","84,550"
CW,2020-10-16,"60,771","60,478","61,063",71.54,70.50,72.59,"84,321","83,939","84,703"
CW,2020-10-17,"59,682","59,382","59,981",70.34,69.25,71.44,"84,227","83,838","84,617"
CW,2020-10-18,"58,103","57,810","58,396",68.72,67.65,69.79,"83,955","83,576","84,333"
CW,2020-10-19,"58,254","58,026","58,481",68.74,67.93,69.54,"84,103","83,806","84,399"
CW,2020-10-20,"60,921","60,792","61,051",71.42,70.93,71.92,"84,809","84,634","84,985"
CW,2020-10-21,"61,431","61,275","61,588",71.95,71.35,72.56,"84,894","84,679","85,108"
CW,2020-10-22,"61,220","61,106","61,333",71.59,71.16,72.02,"85,025","84,875","85,175"
CW,2020-10-23,"61,470","61,314","61,627",71.77,71.20,72.34,"85,164","84,974","85,354"
CW,2020-10-24,"60,189","60,016","60,362",70.47,69.83,71.10,"84,923","84,713","85,133"
CW,2020-10-25,"58,592","58,448","58,736",68.81,68.28,69.34,"84,671","84,490","84,851"
CW,2020-10-26,"58,350","58,266","58,434",68.54,68.25,68.84,"84,655","84,554","84,756"
CW,2020-10-27,"60,891","60,780","61,002",71.05,70.60,71.50,"85,220","85,046","85,395"
CW,2020-10-28,"61,183","60,887","61,479",71.30,70.20,72.41,"85,328","84,951","85,705"
AK,2020-09-28,85,72,98,78.10,78.10,78.10,105,85,125
AL,2020-09-28,"1,229","1,229","1,229",83.49,83.49,83.49,"1,472","1,472","1,472"
AR,2020-09-28,733,729,737,74.95,73.31,76.58,934,905,963
CA,2020-09-28,"4,695","4,674","4,716",66.46,65.47,67.46,"7,064","7,034","7,094"
CO,2020-09-28,735,713,757,60.32,55.37,65.26,"1,202","1,185","1,219"
CT,2020-09-28,500,498,502,47.80,47.14,48.46,"1,046","1,042","1,050"
DC,2020-09-28,255,255,255,75.44,75.44,75.44,338,338,338
DE,2020-09-28,130,119,141,77.02,59.53,94.51,161,144,178
FL,2020-09-28,"4,538","4,521","4,555",73.13,72.21,74.05,"6,205","6,181","6,229"
GA,2020-09-28,"1,956","1,910","2,002",83.09,79.11,87.07,"2,354","2,300","2,408"
HI,2020-09-28,122,78,166,72.16,72.16,72.16,97,10,184
IA,2020-09-28,449,449,449,64.23,64.23,64.23,699,698,700
ID,2020-09-28,177,177,177,59.80,59.80,59.80,298,298,298
IL,2020-09-28,"1,868","1,796","1,940",53.61,50.40,56.81,"3,343","3,208","3,478"
IN,2020-09-28,"1,358","1,353","1,363",58.58,57.86,59.31,"2,318","2,310","2,326"
KS,2020-09-28,488,454,522,73.85,66.51,81.20,670,614,726
KY,2020-09-28,983,983,983,65.01,65.01,65.01,"1,512","1,508","1,516"
LA,2020-09-28,"1,104","1,093","1,115",62.36,58.97,65.76,"1,666","1,597","1,735"
MA,2020-09-28,958,957,959,52.26,51.96,52.56,"1,833","1,830","1,836"
MD,2020-09-28,750,744,756,62.31,60.62,64.01,"1,194","1,185","1,203"
ME,2020-09-28,192,173,211,68.82,52.19,85.45,279,250,308
MI,2020-09-28,"1,872","1,768","1,976",73.73,62.00,85.46,"2,539","2,415","2,663"
MN,2020-09-28,699,699,699,70.96,70.96,70.96,985,980,990
AK,2020-09-29,101,88,114,76.38,42.60,110.15,127,107,147
AL,2020-09-29,"1,235","1,235","1,235",84.65,84.65,84.65,"1,459","1,459","1,459"
AR,2020-09-29,762,759,765,77.06,76.95,77.17,946,920,972
CA,2020-09-29,"4,868","4,848","4,887",68.67,67.69,69.66,"7,088","7,057","7,119"
CO,2020-09-29,795,795,795,65.17,64.95,65.40,"1,206","1,195","1,217"
CT,2020-09-29,532,532,532,50.86,50.86,50.86,"1,046","1,046","1,046"
DC,2020-09-29,254,254,254,73.84,73.84,73.84,344,344,344
