Date Collected,State,blank,blank,Facility_Name,Facility_Type,blank,blank,blank,blank,blank,blank,Resolved_Y_N,blank,Postive_Patients_Desc,blank,blank,blank,blank,blank,blank,blank,Unresolved_Postive_Patients_Desc,blank,blank,blank,blank,blank,blank,blank,Dashboard_Display
20210526,UT,,,The Auberge,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Pine View Rehab Center,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,William E Christoffersen Nursing Home,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,George E Wahlen Nursing Home,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Abbington Manor AL,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Hunter Hollow,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,The Lodge at Riverton,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Copper Ridge,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Mt Ogden Health and Rehab,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Beehive Homes of Lehi,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Avamere at Mountain Ridge,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Pine Creek Rehabilitation and Nursing,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Stonehenge of American Fork,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Maple Springs Living,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Life Care Center of Salt Lake,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Harrison Pointe Healthcare and Rehab,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Cascades at Riverwalk Rehab,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Spring Gardens Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Beehive of Draper,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Rocky Mountain Care Riverton,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Elk Meadows,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Ridge Foothill Sr. Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Rocky Mountain Care Heber,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Rocky Mountain Care Logan,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Central Utah Veterans Home,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Heritage Home,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Carrington Court,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Brookdale Cedar City,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Highland Cove Assisted Living,Assisted Living,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Sarah Daft Home,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Garfield County Nursing Home,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Spring Creek,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Willow Springs RMC Tooele,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Alpine Meadow Rehab and Nursing,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Rocky Mountain Care Murray,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Stonehenge of South Jordan,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Life Care Center of Bountiful,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Sterling Court Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Apple Tree,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Raintree Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Inn Between,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,West Jordan Care Center,Intermed Care/Intel Disabled,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy Village Provo,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Summit Senior Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Avalon West Health and Rehabilitation,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Alta Ridge of Holladay,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Beehive Home - East Millcreek,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Wellington,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Cottonwood Creek,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,The Ridge at Cottonwood Place,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Woodland Park,Nursing Home,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Rocky Mountain Clearfield,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Harmony Hills,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Pointe Meadows,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Medallion Manor,Intermed Care/Intel Disabled,,,,,,,Y,,More than 20,,,,,,,,,,,,,,,,N
20210526,UT,,,Heritage Park,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Copper Ridge,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Encompass Health - Spring Gardens Assisted Living,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Encompass Health - Ridegeview Assisted Living,Assisted Living,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Cascades at Riverwalk Rehab,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Sandy Health and Rehab,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Meadow Brook Rehab and Nursing,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Legacy Village of Taylorsville,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Aspen Ridge,Nursing Home,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Riverway Assisted Living,Assisted Living,,,,,,,Y,,No Resident Cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Draper Rehab and Nursing,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,St. Joseph Villa,Nursing Home,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
20210526,UT,,,Highland Care Center,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Mission at Alpine Rehab,Nursing Home,,,,,,,Y,,Zero cases,,,,,,,,,,,,,,,,N
20210526,UT,,,Crescent of Sandy,Assisted Living,,,,,,,Y,,1 to 4,,,,,,,,,,,,,,,,N
