Aug 20 2020 12:55PM
Case and Death data updated as of Aug 20 2020 12:55PM.  Testing data updated as of Aug 18 2020 12:00AM
abbr,fips,jurisdiction,Total Cases,Total Death,Death_100k,CasesInLast7Days,DeathsInLast7Days,RatePer100000
AK,02,Alaska,4438,29,3,557,2,602
AL,01,Alabama,111478,1944,39,6692,62,2281
AR,05,Arkansas,54216,631,20,3502,58,1799
AS,60,American Samoa,0,0,,0,0,0
AZ,04,Arizona,195557,4634,64,6114,287,2727
CA,06,California,638831,11523,29,52775,875,1615
CO,08,Colorado,53901,1900,33,2145,25,946
CT,09,Connecticut,51314,4457,124,620,7,1436
DC,11,District of Columbia,13354,600,85,395,7,1901
DE,10,Delaware,16718,595,61,751,2,1728
FL,12,Florida,577891,9932,46,32851,1167,2713
FSM,64,Federated States of Micronesia,0,0,,0,0,0
GA,13,Georgia,243982,4849,46,17829,393,2319
GU,66,Guam,599,5,3,122,0,361
HI,15,Hawaii,5176,43,3,1477,5,364
IA,19,Iowa,53280,1005,31,3474,54,1688
ID,16,Idaho,28696,291,16,2563,45,1636
IL,17,Illinois,213221,8017,62,13328,136,1674
IN,18,Indiana,82336,3180,47,5814,94,1230
KS,20,Kansas,35890,411,14,3343,16,1233
KY,21,Kentucky,40926,842,18,3981,52,916
LA,22,Louisiana,139903,4609,98,5599,248,3002
MA,25,Massachusetts,124415,8876,128,3361,107,1803
MD,24,Maryland,102229,3669,60,4069,49,1692
ME,23,Maine,4253,128,9,164,2,318
MI,26,Michigan,104091,6618,66,5402,79,1042
MN,27,Minnesota,67308,1792,31,5012,66,1200
MO,29,Missouri,70675,1414,23,8145,91,1154
MP,69,Northern Mariana Islands,54,2,3,5,0,0
MS,28,Mississippi,75449,2190,73,6075,201,2526
MT,30,Montana,5956,84,7,553,5,561
NC,37,North Carolina,147932,2431,23,8871,182,1425
ND,38,North Dakota,9242,130,17,1071,10,1216
NE,31,Nebraska,31040,371,19,1796,15,1609
NH,33,New Hampshire,7036,427,31,149,7,519
NJ,34,New Jersey,188427,15926,178,2489,41,2115
NM,35,New Mexico,23749,729,34,933,34,1133
NV,32,Nevada,63248,1162,38,4978,138,2084
NY,36,New York,196187,8914,79,2213,27,1761
NYC,57,New York City,232371,23639,281,2016,29,2767
OH,39,Ohio,110881,3907,33,6633,173,949
OK,40,Oklahoma,54132,699,17,5432,72,1373
OR,41,Oregon,23870,408,9,2141,33,570
PA,42,Pennsylvania,126149,7523,58,5019,138,985
PR,72,Puerto Rico,28143,367,11,3697,61,881
PW,70,Palau,0,0,,0,0,0
RI,44,Rhode Island,20795,1027,97,686,9,1967
RMI,68,Republic of Marshall Islands,0,0,,0,0,0
SC,45,South Carolina,108411,2360,46,5437,216,2132
SD,46,South Dakota,10566,155,17,751,8,1198
TN,47,Tennessee,137800,1452,21,11407,163,2035
TX,48,Texas,557256,10559,36,50436,1525,1942
UT,49,Utah,48260,377,11,2538,24,1527
VA,51,Virginia,109882,2427,28,6259,63,1290
VI,78,Virgin Islands,828,9,8,189,0,791
VT,50,Vermont,1533,58,9,55,0,245
WA,53,Washington,68689,1822,24,3987,98,912
WI,55,Wisconsin,72134,1067,18,5480,49,1241
WV,54,West Virginia,8801,166,9,793,13,487
WY,56,Wyoming,3430,34,5,344,5,594
US,00,United States of America,5506929,172416,52,330911,7268,1680
