submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
01/14/2021,AL,444026,348610,95416,3228,897,8303,6722,1581,96,26,01/16/2021 12:00:00 AM,Agree,Agree
01/30/2020,NE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
07/06/2021,MO,626096,,,1633,453,9375,,,35,0,07/07/2021 02:48:49 PM,Not agree,Not agree
06/02/2020,DE,9845,8958,887,36,0,375,351,24,2,0,06/04/2020 12:00:00 AM,Agree,Agree
05/06/2021,VI,3194,,,16,0,27,,,0,0,05/07/2021 01:36:40 PM,,
07/20/2020,MT,2621,2621,0,88,0,39,39,0,2,0,07/21/2020 02:50:17 PM,Agree,Agree
06/27/2020,ME,3191,2838,353,89,9,104,103,1,1,1,06/28/2020 02:59:02 PM,Agree,Agree
07/04/2020,VI,111,,,0,0,6,,,0,0,07/05/2020 03:00:14 PM,,
08/10/2020,AL,117773,106523,11250,1648,262,2722,2442,280,43,5,08/12/2020 12:00:00 AM,Agree,Agree
03/06/2020,ID,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
09/23/2020,WI,112222,105932,6290,1895,133,1268,1259,9,9,1,09/24/2020 01:54:02 PM,Agree,Agree
05/13/2020,MD,35903,,,1091,0,1930,1834,96,50,2,05/15/2020 12:00:00 AM,N/A,Agree
07/21/2020,CT,48096,46116,1980,41,-4,4406,3527,879,0,-2,07/22/2020 02:51:28 PM,Agree,Agree
12/22/2020,NV,206974,,,1090,0,2825,,,38,0,12/23/2020 02:36:58 PM,,
03/12/2021,AL,520765,402800,117965,471,179,10686,8526,2160,10,1,03/14/2021 12:00:00 AM,Agree,Agree
09/03/2020,NV,70474,,,352,1,1392,,,27,0,09/04/2020 01:36:16 PM,,
06/21/2021,ID,194249,155489,38760,63,12,2136,1863,273,14,1,06/21/2021 12:00:00 AM,Agree,Agree
04/08/2020,MT,352,,,20,,6,,,0,,04/07/2020 04:22:39 PM,Agree,Agree
06/21/2021,CT,348757,319132,29625,32,4,8268,6795,1473,-2,-2,06/22/2021 02:36:11 PM,Agree,Agree
09/20/2020,NC,200096,195320,4776,703,38,3539,3504,35,18,1,09/20/2020 12:00:00 AM,Agree,Agree
09/18/2020,MT,10164,10164,0,292,0,156,156,0,12,0,09/19/2020 02:00:26 PM,Agree,Agree
11/10/2020,IL,511183,511183,0,12623,0,10645,10289,356,82,3,11/11/2020 03:15:25 PM,Agree,Agree
06/02/2021,NC,1002171,853698,148473,833,237,13359,11778,1581,8,2,06/02/2021 12:00:00 AM,Agree,Agree
04/22/2021,NE,218183,,,146,0,2232,,,0,0,04/24/2021 12:00:00 AM,Not agree,Not agree
05/20/2020,MI,88246,81849,6397,1238,237,5605,5308,297,45,3,05/21/2020 12:00:00 AM,Agree,Agree
01/16/2021,VT,9226,,,168,0,166,,,2,0,01/18/2021 12:00:00 AM,Not agree,Not agree
12/22/2020,VT,6212,,,67,1,125,,,6,0,12/24/2020 12:00:00 AM,Not agree,Not agree
02/11/2020,IN,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Agree
09/19/2020,MS,95863,88419,7444,333,87,3134,2865,269,7,0,09/21/2020 12:00:00 AM,Agree,Agree
06/09/2021,GU,8230,,,6,1,139,,,0,0,06/10/2021 02:48:23 PM,Not agree,Not agree
05/14/2021,DE,107507,100200,7307,164,8,1651,1509,142,3,0,05/16/2021 12:00:00 AM,Agree,Agree
02/16/2021,NH,71215,,,198,103,1136,,,1,0,02/17/2021 02:51:58 PM,Not agree,Not agree
03/31/2020,ID,525,,,110,,9,,,2,,03/30/2020 04:22:39 PM,Agree,Agree
07/13/2020,ME,3566,3168,398,8,-1,114,113,1,0,0,07/14/2020 03:13:07 PM,Agree,Agree
05/11/2021,ID,189361,151635,37726,233,105,2058,1796,262,-3,-2,05/12/2021 02:33:56 PM,Agree,Agree
06/08/2020,CT,44092,42017,2075,124,2,4084,3239,845,13,3,06/09/2020 04:49:08 PM,Agree,Agree
04/17/2021,NH,91279,,,369,133,1266,,,0,0,04/18/2021 01:41:35 PM,Not agree,Not agree
07/02/2020,MO,27251,,,948,13,1117,,,5,0,07/04/2020 12:00:00 AM,Not agree,Not agree
07/28/2020,ND,6227,6227,0,86,0,102,,,2,0,07/29/2020 02:34:46 PM,Agree,Not agree
05/25/2021,WI,673023,608959,64064,432,56,7760,6998,762,11,3,05/26/2021 01:48:32 PM,Agree,Agree
03/10/2021,WI,623150,567850,55300,706,190,7150,6524,626,16,2,03/11/2021 03:36:21 PM,Agree,Agree
07/17/2021,DE,110339,102626,7713,69,17,1697,1551,146,0,0,07/19/2021 01:20:07 PM,Agree,Agree
10/18/2020,DE,23364,22278,1086,104,3,666,585,81,2,0,10/20/2020 12:00:00 AM,Agree,Agree
12/10/2020,VT,5099,,,123,3,96,,,2,0,12/12/2020 12:00:00 AM,Not agree,Not agree
11/04/2020,VT,2109,,,27,3,57,,,0,0,11/06/2020 12:00:00 AM,Not agree,Not agree
04/28/2020,AL,9433,8993,440,324,10,360,341,19,12,0,04/30/2020 12:00:00 AM,Agree,Agree
04/13/2020,CT,13381,,,1346,,602,,,48,,04/12/2020 04:22:39 PM,Agree,Agree
08/22/2020,WA,71027,,,827,25,1857,,,7,0,08/24/2020 12:00:00 AM,N/A,N/A
02/21/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
07/17/2021,NH,99926,,,19,7,1381,,,0,0,07/19/2021 01:20:07 PM,Not agree,Not agree
05/26/2021,WA,432211,,,1794,203,5741,,,19,0,05/28/2021 12:00:00 AM,N/A,N/A
08/15/2020,NV,60814,,,859,0,1097,,,24,0,08/16/2020 02:57:14 PM,,
01/01/2021,NE,167834,,,921,0,1668,,,17,0,01/03/2021 12:00:00 AM,Not agree,Not agree
06/10/2020,WI,21593,21593,0,285,0,671,671,0,10,0,06/11/2020 02:48:51 PM,Agree,Agree
07/22/2020,AL,89918,83304,6614,2096,300,1936,1772,164,40,8,07/24/2020 12:00:00 AM,Agree,Agree
07/06/2020,CA,346155,345530,625,5405,21,7448,,,86,0,07/07/2020 12:00:00 AM,Agree,Not agree
12/23/2020,CA,2179237,2115696,63541,50734,2459,27551,,,489,0,12/24/2020 12:00:00 AM,Agree,Not agree
03/28/2020,NC,1929,1926,3,167,0,6,6,0,1,0,03/28/2020 12:00:00 AM,Agree,Agree
07/03/2021,NC,1014840,862745,152095,497,151,13513,11912,1601,5,0,07/03/2021 12:00:00 AM,Agree,Agree
06/28/2020,CA,277910,277521,389,9114,11,6720,,,85,0,06/29/2020 12:00:00 AM,Agree,Not agree
01/31/2021,NV,278308,,,959,0,4270,,,6,0,02/01/2021 02:50:29 PM,,
08/23/2020,NV,65866,,,532,0,1227,,,0,0,08/24/2020 01:54:34 PM,,
07/01/2021,NC,1013812,862021,151791,470,154,13503,11902,1601,4,1,07/01/2021 12:00:00 AM,Agree,Agree
12/05/2020,IL,779975,779975,0,9887,0,14017,13179,838,235,30,12/06/2020 02:51:16 PM,Agree,Agree
12/06/2020,MD,217329,,,2302,0,5108,4932,176,41,1,12/08/2020 12:00:00 AM,N/A,Agree
05/17/2021,IL,1367214,1367214,0,946,0,24801,22445,2356,6,0,05/18/2021 02:26:44 PM,Agree,Agree
04/10/2021,CT,321586,296201,25385,0,0,7944,6530,1414,0,0,04/11/2021 01:50:11 PM,Agree,Agree
04/28/2020,VI,59,,,0,0,4,,,0,0,04/29/2020 06:12:08 PM,,
07/13/2021,GU,8471,,,4,0,142,,,0,0,07/14/2021 02:14:34 PM,Not agree,Not agree
05/08/2020,NE,7831,,,641,0,92,,,2,0,05/10/2020 12:00:00 AM,Not agree,Not agree
03/31/2020,AL,3243,3069,174,223,10,49,46,3,8,0,04/02/2020 12:00:00 AM,Agree,Agree
06/18/2021,NE,223986,,,13,0,2259,,,1,0,06/18/2021 12:00:00 AM,Not agree,Not agree
11/03/2020,CT,74843,70746,4097,985,65,4634,3725,909,7,0,11/04/2020 03:03:00 PM,Agree,Agree
11/26/2020,WI,398104,374537,23567,5666,571,3415,3240,175,72,10,11/27/2020 03:07:59 PM,Agree,Agree
11/02/2020,NV,102114,,,635,0,1784,,,3,0,11/03/2020 02:57:05 PM,,
02/27/2021,WI,616886,563496,53390,868,179,7014,6412,602,15,2,02/28/2021 02:48:18 PM,Agree,Agree
05/14/2021,MO,592944,,,432,183,8993,,,0,0,05/16/2021 12:00:00 AM,Not agree,Not agree
05/05/2021,MO,588760,,,629,244,8976,,,1,0,05/07/2021 12:00:00 AM,Not agree,Not agree
03/26/2021,WA,359582,,,1096,148,5218,,,5,0,03/28/2021 12:00:00 AM,N/A,N/A
11/12/2020,MS,135316,113221,22095,1367,570,3922,3402,520,25,7,11/14/2020 12:00:00 AM,Agree,Agree
01/16/2021,NC,703079,623522,79557,6817,1197,9485,8580,905,127,22,01/16/2021 12:00:00 AM,Agree,Agree
05/20/2021,GU,8131,,,7,0,139,,,0,0,05/21/2021 02:08:46 PM,Not agree,Not agree
08/06/2020,MI,173669,157697,15972,1343,116,6592,6275,317,5,0,08/07/2020 12:00:00 AM,Agree,Agree
04/22/2021,MD,439992,,,0,0,9187,8977,210,11,0,04/24/2021 12:00:00 AM,N/A,Agree
03/12/2020,VT,2,,,1,0,0,,,0,0,03/14/2020 12:00:00 AM,Not agree,Not agree
03/18/2020,VT,12,,,2,0,0,,,0,0,03/20/2020 12:00:00 AM,Not agree,Not agree
08/12/2020,AL,120376,108677,11699,1232,201,2792,2499,293,30,6,08/14/2020 12:00:00 AM,Agree,Agree
03/19/2020,ND,19,,,12,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
02/24/2020,MS,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/18/2020,VI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
05/23/2020,NE,11989,,,327,0,147,,,0,0,05/25/2020 12:00:00 AM,Not agree,Not agree
12/05/2020,VI,1649,,,16,0,23,,,0,0,12/06/2020 02:51:16 PM,,
03/09/2021,NH,77252,,,192,113,1185,,,1,0,03/10/2021 02:58:31 PM,Not agree,Not agree
02/14/2020,VI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
12/30/2020,MI,586021,538399,47622,3132,306,13740,12969,771,91,7,12/31/2020 12:00:00 AM,Agree,Agree
06/25/2021,ID,194690,155853,38837,81,13,2145,1869,276,2,0,06/26/2021 02:17:39 PM,Agree,Agree
05/29/2021,DE,108800,101337,7463,48,8,1661,1519,142,1,0,05/31/2021 12:00:00 AM,Agree,Agree
04/27/2021,AL,538741,415555,123186,441,128,11078,8837,2241,6,2,04/29/2021 12:00:00 AM,Agree,Agree
04/27/2020,NV,4690,,,88,0,213,,,0,0,05/25/2020 03:38:40 PM,,
04/06/2021,NV,305652,,,295,0,5297,,,22,0,04/07/2021 02:25:43 PM,,
01/31/2021,MD,355636,,,1163,0,7600,7403,197,31,1,02/02/2021 12:00:00 AM,N/A,Agree
03/18/2020,VI,3,,,1,,0,,,0,,03/26/2020 04:22:39 PM,,
10/12/2020,NC,236121,227960,8161,975,77,4125,4063,62,21,1,10/12/2020 12:00:00 AM,Agree,Agree
02/21/2021,MO,546899,,,424,172,8486,,,18,0,02/23/2021 12:00:00 AM,Not agree,Not agree
04/19/2021,MT,107202,98972,8230,57,-2,1546,1546,0,0,0,04/20/2021 02:59:01 PM,Agree,Agree
06/12/2021,IN,749097,,,443,0,13789,13367,422,7,0,06/12/2021 12:00:00 AM,Not agree,Agree
05/24/2021,MS,317254,194269,122985,203,80,7379,5090,2289,3,3,05/26/2021 12:00:00 AM,Agree,Agree
08/03/2020,CT,50062,48093,1969,252,13,4437,3555,882,5,1,08/04/2020 02:09:35 PM,Agree,Agree
06/07/2020,NE,15634,,,91,0,188,,,0,0,06/09/2020 12:00:00 AM,Not agree,Not agree
01/08/2021,WA,268531,,,4608,513,3699,,,65,0,01/10/2021 12:00:00 AM,N/A,N/A
02/12/2021,MS,288266,180204,108062,1001,600,6858,4799,2059,19,8,02/14/2021 12:00:00 AM,Agree,Agree
06/10/2021,MD,461097,,,113,0,9677,9459,218,10,1,06/11/2021 02:20:54 PM,N/A,Agree
11/24/2020,ID,94730,80709,14021,1640,341,874,808,66,8,0,11/25/2020 02:53:15 PM,Agree,Agree
06/22/2020,ID,4254,3820,434,248,13,89,69,20,0,0,06/23/2020 02:28:19 PM,Agree,Agree
03/14/2020,ME,5,,,4,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
04/28/2020,MS,7912,7878,34,282,2,542,541,1,21,0,04/30/2020 12:00:00 AM,Agree,Agree
09/18/2020,MI,226949,205789,21160,1286,144,7001,6674,327,14,0,09/19/2020 12:00:00 AM,Agree,Agree
10/06/2020,MD,128644,,,440,0,4104,3947,157,7,0,10/08/2020 12:00:00 AM,N/A,Agree
06/23/2021,ME,68889,50385,18504,25,-6,856,825,31,2,1,06/24/2021 03:16:23 PM,Agree,Agree
08/04/2020,IL,185993,184712,1281,1471,0,7742,7545,197,19,0,08/05/2020 02:13:18 PM,Agree,Agree
04/02/2021,VT,18421,,,195,5,226,,,1,0,04/04/2021 12:00:00 AM,Not agree,Not agree
07/27/2021,MI,1008429,901683,106746,48,18,21165,19902,1263,3,0,07/28/2021 01:51:39 PM,Agree,Agree
01/29/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/03/2020,ID,2990,2709,281,57,8,83,63,20,0,0,06/04/2020 03:03:31 PM,Agree,Agree
03/29/2021,AL,527286,407439,119847,449,141,10873,8668,2205,9,2,03/31/2021 12:00:00 AM,Agree,Agree
08/03/2020,MI,169260,153699,15561,1662,124,6577,6260,317,9,0,08/04/2020 12:00:00 AM,Agree,Agree
02/12/2021,AL,502453,389865,112588,1084,336,10083,8055,2028,33,5,02/14/2021 12:00:00 AM,Agree,Agree
03/12/2020,NE,10,,,5,,0,,,0,,03/14/2020 12:00:00 AM,Not agree,Not agree
09/30/2020,IN,120019,,,953,0,3869,3643,226,19,0,09/30/2020 12:00:00 AM,Not agree,Agree
08/26/2020,CT,52220,50134,2086,180,17,4463,3579,884,0,1,08/27/2020 01:42:08 PM,Agree,Agree
07/14/2021,IL,1398409,1398409,0,742,0,25803,23343,2460,10,3,07/15/2021 02:29:47 PM,Agree,Agree
02/29/2020,WA,1,,,0,0,1,,,1,,03/02/2020 12:00:00 AM,N/A,N/A
05/18/2020,ND,1931,1931,0,31,0,44,,,1,0,05/19/2020 03:45:23 PM,Agree,Not agree
05/04/2021,MO,588131,,,633,179,8975,,,3,0,05/06/2021 12:00:00 AM,Not agree,Not agree
09/11/2020,MI,218086,197885,20201,1382,135,6932,6608,324,8,2,09/12/2020 12:00:00 AM,Agree,Agree
10/21/2020,MD,137979,,,743,0,4206,4049,157,8,0,10/23/2020 12:00:00 AM,N/A,Agree
12/04/2020,WA,179530,,,2085,79,2925,,,25,0,12/06/2020 12:00:00 AM,N/A,N/A
02/24/2021,AL,512311,396911,115400,976,243,10425,8323,2102,23,2,02/26/2021 12:00:00 AM,Agree,Agree
11/11/2020,DE,27692,26485,1207,197,7,724,637,87,0,0,11/13/2020 12:00:00 AM,Agree,Agree
04/29/2020,VT,788,,,0,0,48,,,1,0,05/01/2020 12:00:00 AM,Not agree,Not agree
10/21/2020,WI,192191,182687,9504,4363,158,1702,1681,21,50,2,10/22/2020 01:34:46 PM,Agree,Agree
11/07/2020,IL,477978,477978,0,12438,0,10488,10154,334,91,16,11/08/2020 02:40:34 PM,Agree,Agree
09/17/2020,IL,270302,268207,2095,2056,0,8624,8392,232,25,0,09/18/2020 01:48:37 PM,Agree,Agree
03/06/2021,NV,295960,,,500,0,5036,,,16,0,03/07/2021 02:51:40 PM,,
03/06/2020,VI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
02/05/2021,MI,659188,601267,57921,1208,213,16046,15085,961,47,3,02/06/2021 12:00:00 AM,Agree,Agree
04/21/2021,IL,1309552,1309552,0,2765,0,24018,21722,2296,29,1,04/22/2021 01:56:30 PM,Agree,Agree
04/25/2021,DE,104130,97270,6860,247,28,1616,1475,141,1,0,04/27/2021 12:00:00 AM,Agree,Agree
04/01/2021,CT,312468,288177,24291,1580,638,7900,6492,1408,14,-1,04/02/2021 01:56:15 PM,Agree,Agree
06/11/2020,MD,60613,,,416,0,3004,2878,126,23,0,06/13/2020 12:00:00 AM,N/A,Agree
01/22/2020,MO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
04/13/2021,NV,308755,,,412,0,5339,,,7,0,04/14/2021 02:34:57 PM,,
10/31/2020,IN,179358,,,3465,0,4725,4484,241,51,1,10/31/2020 12:00:00 AM,Not agree,Agree
06/04/2020,GU,179,,,0,0,5,,,0,0,06/05/2020 03:17:07 PM,Not agree,Not agree
04/23/2021,NH,93231,,,320,111,1281,,,7,1,04/24/2021 02:22:34 PM,Not agree,Not agree
06/26/2021,MS,321559,196773,124786,84,40,7428,5120,2308,0,0,06/28/2021 12:00:00 AM,Agree,Agree
12/23/2020,ME,21226,18258,2968,735,173,318,313,5,6,0,12/24/2020 02:31:20 PM,Agree,Agree
07/04/2020,GU,290,,,4,0,5,,,0,0,07/05/2020 03:00:14 PM,Not agree,Not agree
07/03/2020,MI,128694,116858,11836,924,88,6336,6029,307,9,0,07/04/2020 12:00:00 AM,Agree,Agree
02/02/2020,CA,464,464,0,-3,0,148,,,0,0,02/03/2020 12:00:00 AM,Agree,Not agree
07/07/2021,VT,22856,,,8,-1,250,,,0,0,07/08/2021 02:26:57 PM,Not agree,Not agree
10/21/2020,NV,92064,,,472,-93,1732,,,-42,-47,10/22/2020 01:34:46 PM,,
01/03/2021,VT,7296,,,87,0,149,,,0,0,01/05/2021 12:00:00 AM,Not agree,Not agree
01/23/2021,MO,513773,,,1146,331,7859,,,33,0,01/25/2021 12:00:00 AM,Not agree,Not agree
09/08/2020,MO,102029,,,2354,81,2020,,,18,0,09/10/2020 12:00:00 AM,Not agree,Not agree
05/10/2021,NE,221911,,,221,0,2247,,,1,0,05/12/2021 12:00:00 AM,Not agree,Not agree
12/18/2020,GU,7193,,,0,0,119,,,0,0,12/19/2020 02:42:31 PM,Not agree,Not agree
02/20/2021,VT,13279,,,106,4,198,,,2,0,02/22/2021 12:00:00 AM,Not agree,Not agree
06/21/2021,AL,551044,424094,126950,198,63,11383,9076,2307,5,0,06/23/2021 12:00:00 AM,Agree,Agree
06/12/2020,MS,21917,21751,166,502,10,1147,1128,19,7,0,06/14/2020 12:00:00 AM,Agree,Agree
08/10/2020,MI,178555,162161,16394,1757,144,6629,6312,317,3,0,08/11/2020 12:00:00 AM,Agree,Agree
01/16/2021,AL,448950,352188,96762,1871,491,8446,6828,1618,69,16,01/18/2021 12:00:00 AM,Agree,Agree
02/16/2021,MI,673172,612829,60343,1153,214,16387,15408,979,24,0,02/17/2021 12:00:00 AM,Agree,Agree
05/11/2021,VI,3244,,,11,0,27,,,0,0,05/12/2021 02:33:56 PM,,
04/07/2021,MD,421823,,,2768,0,8936,8729,207,15,0,04/09/2021 12:00:00 AM,N/A,Agree
03/16/2021,IN,674661,,,574,0,13011,12608,403,8,0,03/16/2021 12:00:00 AM,Not agree,Agree
03/21/2021,WA,355320,,,698,100,5174,,,0,0,03/23/2021 12:00:00 AM,N/A,N/A
01/19/2021,NE,183649,,,1102,0,1842,,,0,0,01/21/2021 12:00:00 AM,Not agree,Not agree
10/19/2020,IL,350748,347161,3587,3113,0,9496,9236,260,22,0,10/20/2020 02:59:27 PM,Agree,Agree
07/02/2021,DE,109820,102202,7618,50,6,1695,1550,145,1,0,07/03/2021 01:44:06 PM,Agree,Agree
06/08/2021,ID,193157,154590,38567,127,22,2105,1836,269,-1,-1,06/09/2021 02:26:44 PM,Agree,Agree
05/20/2021,NE,222884,,,208,0,2248,,,4,0,05/21/2021 02:08:46 PM,Not agree,Not agree
08/30/2020,NV,69164,,,447,0,1331,,,0,0,08/31/2020 02:05:56 PM,,
10/07/2020,CA,861870,854964,6906,4408,121,17242,,,57,0,10/08/2020 12:00:00 AM,Agree,Not agree
04/24/2021,NC,961320,823259,138061,1633,389,12928,11421,1507,10,0,04/24/2021 12:00:00 AM,Agree,Agree
04/26/2020,IN,15012,,,617,0,1073,956,117,45,3,07/22/2021 01:39:53 PM,Not agree,Agree
05/27/2021,ID,191877,153558,38319,139,30,2090,1822,268,2,0,05/28/2021 01:29:21 PM,Agree,Agree
06/11/2021,CA,3848357,3694934,153423,992,80,63345,,,8,0,06/12/2021 12:00:00 AM,Agree,Not agree
