Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_LatinX,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_LatinX,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
20210113,AK,50816,16186,1345,,2025,10422,1399,3965,6404,9070,2919,26813,21084,226,85,9,,22,89,15,4,0,2,9,211,6,1138,361,44,,106,297,119,71,47,93,57,837,244,,,,,,,,,,,,,
20210113,AL,410995,129968,67814,,1701,,,,33727,177785,10959,136053,263983,5760,2801,1517,,16,,,,154,1272,106,3802,1852,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,AR,262020,167693,41661,,2358,774,3144,1572,13363,31455,29608,232412,0,4186,3093,604,,27,7,51,13,153,238,147,4039,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,AZ,641729,216287,18271,183465,8295,30538,,,28834,156039,183465,302225,156039,10673,5079,290,3040,114,962,,,261,927,3040,6706,927,44863,19953,1924,14983,742,3587,,,1744,1930,14983,27950,1930,,,,,,,,,,,,,
20210113,CA,2781039,409082,82125,1133397,133241,6509,11688,26303,256656,722038,1133397,925604,722038,31102,9569,2016,14078,3535,99,166,340,400,899,14078,16125,899,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,CO,366774,142418,10380,104127,5172,2127,1064,5135,2677,93674,104127,168973,93674,5285,3317,177,1088,109,34,9,134,36,381,1088,3816,381,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,CT,220576,65275,15515,34549,2258,343,,10206,11144,81286,34549,104741,81286,6536,4718,829,626,75,3,,135,39,111,626,5799,111,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,DC,32600,8185,15564,,670,66,69,,7746,300,7086,22965,2549,831,86,613,107,11,,,,0,14,107,710,14,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,DE,67173,31310,15376,11536,1326,,,,4010,3615,11536,52022,3615,994,677,230,63,9,,,,14,1,63,930,1,,,,,,,,,,,,,,543353,266073,98444,45012,13126,,,,50598,70100,45012,428241,70100
